Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR39139285	10333576.0	3564.0	1780.0	nan	340016.0	0.0
SRR39146138	10777162.0	3830.0	1924.0	nan	364664.0	0.0
SRR39146893	9373088.0	4222.0	1422.0	nan	348532.0	0.0
SRR39146894	9676936.0	3644.0	1796.0	nan	336162.0	0.0
SRR39146895	10227756.0	3526.0	1834.0	nan	346186.0	0.0
SRR39146896	8628950.0	3740.0	1316.0	nan	332776.0	0.0
SRR39146897	10014366.0	4106.0	1768.0	nan	364268.0	0.0
SRR39146898	10617248.0	3996.0	1906.0	nan	358276.0	0.0
SRR39146899	8723572.0	3714.0	1332.0	nan	316102.0	0.0
SRR39146900	10261400.0	3568.0	1856.0	nan	325270.0	0.0
