Module	Section	Sample Name	Source
fastp	all_sections	SRR39139285	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39139285_fastp.json
fastp	all_sections	SRR39146138	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146138_fastp.json
fastp	all_sections	SRR39146893	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146893_fastp.json
fastp	all_sections	SRR39146894	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146894_fastp.json
fastp	all_sections	SRR39146895	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146895_fastp.json
fastp	all_sections	SRR39146896	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146896_fastp.json
fastp	all_sections	SRR39146897	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146897_fastp.json
fastp	all_sections	SRR39146898	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146898_fastp.json
fastp	all_sections	SRR39146899	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146899_fastp.json
fastp	all_sections	SRR39146900	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/data/trimmed/SRR39146900_fastp.json
