Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR39139285_1	(35, 5634.0)	(40, 6619.0)	(45, 6182.0)	(50, 5776.0)	(55, 5565.0)	(60, 5317.0)	(65, 5529.0)	(70, 5741.0)	(75, 5637.0)	(80, 5690.0)	(85, 6066.0)	(90, 5967.0)	(95, 6206.0)	(100, 6581.0)	(105, 7515.0)	(110, 7593.0)	(115, 8515.0)	(120, 8752.0)	(125, 10741.0)	(130, 12157.0)	(135, 15290.0)	(140, 18992.0)	(145, 8634.0)	(150, 4986089.0)
SRR39139285_2	(35, 8553.0)	(40, 8697.0)	(45, 7793.0)	(50, 6995.0)	(55, 6912.0)	(60, 6681.0)	(65, 6737.0)	(70, 6852.0)	(75, 6822.0)	(80, 7112.0)	(85, 7562.0)	(90, 7844.0)	(95, 8348.0)	(100, 9138.0)	(105, 10058.0)	(110, 10878.0)	(115, 11556.0)	(120, 14421.0)	(125, 16779.0)	(130, 19005.0)	(135, 22898.0)	(140, 26336.0)	(145, 10668.0)	(150, 4918143.0)
SRR39146138_1	(35, 5876.0)	(40, 7169.0)	(45, 6601.0)	(50, 6239.0)	(55, 6245.0)	(60, 5942.0)	(65, 6103.0)	(70, 6226.0)	(75, 6324.0)	(80, 6344.0)	(85, 6521.0)	(90, 6430.0)	(95, 6960.0)	(100, 7345.0)	(105, 8452.0)	(110, 8744.0)	(115, 9895.0)	(120, 10238.0)	(125, 12661.0)	(130, 14633.0)	(135, 18115.0)	(140, 22521.0)	(145, 12045.0)	(150, 5180952.0)
SRR39146138_2	(35, 9676.0)	(40, 9697.0)	(45, 8572.0)	(50, 7736.0)	(55, 7558.0)	(60, 7561.0)	(65, 7267.0)	(70, 7545.0)	(75, 7578.0)	(80, 8093.0)	(85, 8302.0)	(90, 8754.0)	(95, 9516.0)	(100, 10500.0)	(105, 11460.0)	(110, 12347.0)	(115, 13602.0)	(120, 16931.0)	(125, 19797.0)	(130, 22538.0)	(135, 27003.0)	(140, 31030.0)	(145, 14771.0)	(150, 5100747.0)
SRR39146893_1	(35, 5071.0)	(40, 5991.0)	(45, 5476.0)	(50, 5175.0)	(55, 5218.0)	(60, 4973.0)	(65, 4999.0)	(70, 4874.0)	(75, 4974.0)	(80, 5066.0)	(85, 5358.0)	(90, 5286.0)	(95, 5605.0)	(100, 5920.0)	(105, 6671.0)	(110, 6931.0)	(115, 7850.0)	(120, 7990.0)	(125, 9610.0)	(130, 11010.0)	(135, 13918.0)	(140, 17709.0)	(145, 7672.0)	(150, 4523197.0)
SRR39146893_2	(35, 9146.0)	(40, 8972.0)	(45, 7790.0)	(50, 7227.0)	(55, 6925.0)	(60, 6789.0)	(65, 6586.0)	(70, 6746.0)	(75, 6895.0)	(80, 7082.0)	(85, 7186.0)	(90, 7656.0)	(95, 8324.0)	(100, 9117.0)	(105, 10265.0)	(110, 10984.0)	(115, 11563.0)	(120, 14725.0)	(125, 16927.0)	(130, 19179.0)	(135, 23020.0)	(140, 25973.0)	(145, 10399.0)	(150, 4437068.0)
SRR39146894_1	(35, 5170.0)	(40, 6341.0)	(45, 5800.0)	(50, 5274.0)	(55, 5378.0)	(60, 5064.0)	(65, 5335.0)	(70, 5405.0)	(75, 5293.0)	(80, 5214.0)	(85, 5546.0)	(90, 5493.0)	(95, 5795.0)	(100, 6132.0)	(105, 6908.0)	(110, 7254.0)	(115, 8136.0)	(120, 8521.0)	(125, 10068.0)	(130, 11677.0)	(135, 14977.0)	(140, 18509.0)	(145, 9372.0)	(150, 4665806.0)
SRR39146894_2	(35, 8527.0)	(40, 8546.0)	(45, 7555.0)	(50, 6851.0)	(55, 6701.0)	(60, 6551.0)	(65, 6400.0)	(70, 6718.0)	(75, 6573.0)	(80, 7012.0)	(85, 7152.0)	(90, 7338.0)	(95, 7916.0)	(100, 8848.0)	(105, 9830.0)	(110, 10510.0)	(115, 11208.0)	(120, 14283.0)	(125, 16287.0)	(130, 18867.0)	(135, 22463.0)	(140, 25911.0)	(145, 11456.0)	(150, 4594965.0)
SRR39146895_1	(35, 5576.0)	(40, 6742.0)	(45, 6190.0)	(50, 5942.0)	(55, 5977.0)	(60, 5692.0)	(65, 5684.0)	(70, 6003.0)	(75, 5996.0)	(80, 6203.0)	(85, 6310.0)	(90, 6415.0)	(95, 6601.0)	(100, 6939.0)	(105, 8123.0)	(110, 8037.0)	(115, 9257.0)	(120, 9471.0)	(125, 11512.0)	(130, 12899.0)	(135, 16319.0)	(140, 20049.0)	(145, 9338.0)	(150, 4922603.0)
SRR39146895_2	(35, 9424.0)	(40, 9802.0)	(45, 8768.0)	(50, 7924.0)	(55, 7765.0)	(60, 7670.0)	(65, 7646.0)	(70, 7929.0)	(75, 7910.0)	(80, 8291.0)	(85, 8536.0)	(90, 8971.0)	(95, 9382.0)	(100, 10625.0)	(105, 11680.0)	(110, 12308.0)	(115, 13156.0)	(120, 16519.0)	(125, 18884.0)	(130, 21454.0)	(135, 25342.0)	(140, 29072.0)	(145, 12386.0)	(150, 4832434.0)
