Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR39139285_1	SRR39139285_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5166788.0	0.0	36-150	58.0	78.07748625014979	148.8184017807582	150	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SRR39139285_2	SRR39139285_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5166788.0	0.0	36-150	58.0	77.31860426566796	148.2672661429112	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146138_1	SRR39146138_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5388581.0	0.0	36-150	59.0	76.79360145250322	148.71051469765416	150	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146138_2	SRR39146138_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5388581.0	0.0	36-150	59.0	76.70617320588879	148.08420834724393	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146893_1	SRR39146893_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4686544.0	0.0	36-150	60.0	78.24360405594028	148.83103466008214	150	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146893_2	SRR39146893_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4686544.0	0.0	36-150	60.0	77.97384556767938	148.01671466223297	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146894_1	SRR39146894_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4838468.0	0.0	36-150	59.0	78.24201346555341	148.80884135226273	150	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146894_2	SRR39146894_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4838468.0	0.0	36-150	59.0	77.70829407218682	148.17911340945108	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146895_1	SRR39146895_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5113878.0	0.0	36-150	60.0	76.38151602716346	148.71946818050802	150	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146895_2	SRR39146895_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5113878.0	0.0	36-150	60.0	76.02404718824737	147.9408953440031	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146896_1	SRR39146896_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4314475.0	0.0	36-150	59.0	79.18698784777641	148.68498994663312	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146896_2	SRR39146896_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4314475.0	0.0	36-150	59.0	78.59860574605007	147.80468747646006	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146897_1	SRR39146897_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5007183.0	0.0	36-150	59.0	76.5067257059971	148.70444359632953	150	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146897_2	SRR39146897_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5007183.0	0.0	36-150	59.0	75.91433374356174	147.96232372573562	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146898_1	SRR39146898_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5308624.0	0.0	36-150	59.0	76.40478199292106	148.74864880240153	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146898_2	SRR39146898_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5308624.0	0.0	36-150	59.0	75.99604758893186	148.12826139127577	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146899_1	SRR39146899_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4361786.0	0.0	36-150	59.0	78.84778491662674	148.75122518619668	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146899_2	SRR39146899_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	4361786.0	0.0	36-150	59.0	78.21720860388614	148.01301301806186	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146900_1	SRR39146900_1.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5130700.0	0.0	36-150	59.0	77.41367032058382	148.7722027208763	150	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SRR39146900_2	SRR39146900_2.trim.fastq	Conventional base calls	Sanger / Illumina 1.9	5130700.0	0.0	36-150	59.0	76.81982853197489	148.29566355468066	150	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
