Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR39139285_1 - illumina_universal_adapter	(1, 0.000187284575916552)	(2, 0.0002621984062831728)	(3, 0.000561853727749656)	(4, 0.0007678667612578631)	(5, 0.0010862505403160016)	(6, 0.0011986212858659327)	(7, 0.0013484489465991744)	(8, 0.0014608196921491055)	(9, 0.001610647352882347)	(10, 0.0017417465560239335)	(12, 0.002032037648694589)	(14, 0.0023129645125694173)	(16, 0.0027718117235649696)	(18, 0.0031557451041939006)	(20, 0.006171026776450388)	(22, 0.006461317869121044)	(24, 0.006667330902629251)	(26, 0.006845251249749975)	(28, 0.0070231715968706995)	(30, 0.007154270800012286)	(32, 0.007388376519907976)	(34, 0.00752883995184539)	(36, 0.007734852985353598)	(38, 0.007987687162840942)	(40, 0.008156243281165838)	(42, 0.008268614026715769)	(44, 0.008409077458653184)	(46, 0.008549540890590599)	(48, 0.008680640093732185)	(50, 0.009073937703156943)	(52, 0.009205036906298529)	(54, 0.009354864567031773)	(56, 0.009570241829335807)	(58, 0.009926082523577255)	(60, 0.010178916701064602)	(62, 0.01053475739530605)	(64, 0.0108905980895475)	(66, 0.011358809529338878)	(68, 0.011667829079601188)	(70, 0.012089219375413431)	(72, 0.012613616187979775)	(74, 0.013194198373321087)	(76, 0.013606224440337503)	(78, 0.014111892795312192)	(80, 0.014758024582224296)	(82, 0.015479070199503021)	(84, 0.016125201986415125)	(86, 0.016977346806835436)	(88, 0.018044868889559786)	(90, 0.01888764948118427)	(92, 0.019880257733541993)	(94, 0.02094777981626634)	(96, 0.022221314932498893)	(98, 0.023569763879098066)	(100, 0.024899484368105587)	(102, 0.026088741425175692)	(104, 0.02750273997334566)	(106, 0.029094658868636353)	(108, 0.03104241845816849)	(110, 0.03299954227649646)	(112, 0.03547169867859495)	(114, 0.03841206652048482)	(116, 0.04144607665033295)	(118, 0.044348987577039506)	(120, 0.04805722218018724)	(122, 0.05198083404563901)	(124, 0.05610109471580314)	(126, 0.06109222866397926)	(128, 0.0662612829592761)	(130, 0.07209519749907668)	(132, 0.07794784049646894)	(134, 0.08523321049962282)	(136, 0.09270586507869323)	(138, 0.10171425318027938)
SRR39139285_2 - illumina_universal_adapter	(1, 0.000187284575916552)	(2, 0.0002621984062831728)	(3, 0.0005431252701580008)	(4, 0.000749138303666208)	(5, 0.0011049789979076566)	(6, 0.001217349743457588)	(7, 0.0013671774041908295)	(8, 0.0014795481497407606)	(9, 0.0016481042680656574)	(10, 0.0017792034712072438)	(12, 0.0020694945638778995)	(14, 0.0023691498853443825)	(16, 0.0027905401811566246)	(18, 0.003174473561785556)	(20, 0.005899464141371387)	(22, 0.006171026776450388)	(24, 0.006423860953937733)	(26, 0.006667330902629251)	(28, 0.006901436622524941)	(30, 0.007154270800012286)	(32, 0.007435197663887114)	(34, 0.007688031841374459)	(36, 0.008006415620432597)	(38, 0.008296706713103254)	(40, 0.008512083975407288)	(42, 0.00869936855132384)	(44, 0.008942838500015357)	(46, 0.009195672677502702)	(48, 0.009439142626194219)	(50, 0.009879261379598117)	(52, 0.010122731328289634)	(54, 0.01033810859059367)	(56, 0.010590942768081014)	(58, 0.011012333063893258)	(60, 0.01134944530054305)	(62, 0.011798928282742776)	(64, 0.012276503951329983)	(66, 0.012857086136671293)	(68, 0.013259747974891881)	(70, 0.013737323643479089)	(72, 0.014336634286412055)	(74, 0.015029587217303297)	(76, 0.015469705970707194)	(78, 0.016059652384844334)	(80, 0.01677133377332723)	(82, 0.017501743619401783)	(84, 0.018204060779088854)	(86, 0.019177940573854923)	(88, 0.020385926088516686)	(90, 0.021359805883282755)	(92, 0.02243669219480293)	(94, 0.02363531348066886)	(96, 0.024974398198472206)	(98, 0.026416489433029655)	(100, 0.02783985220999545)	(102, 0.02906656618224887)	(104, 0.030518021645602147)	(106, 0.032072483625709525)	(108, 0.03406706435922081)	(110, 0.03605228086393626)	(112, 0.038561894181218054)	(114, 0.04155844739588288)	(116, 0.044648642898505994)	(118, 0.047663924570762475)	(120, 0.05135343071631855)	(122, 0.055220857208995354)	(124, 0.05935984633675115)	(126, 0.06449144371686469)	(128, 0.06961367686818237)	(130, 0.07548504832316627)	(132, 0.0814313336085168)	(134, 0.08863242555250822)	(136, 0.09623617933472023)	(138, 0.10516965360593977)
SRR39146138_1 - illumina_universal_adapter	(1, 0.000538233410300711)	(2, 0.0010047023658946606)	(3, 0.0015967591172254426)	(4, 0.0018838169360524885)	(5, 0.0024220503463531994)	(6, 0.0029244015293005297)	(7, 0.0033370471438644083)	(8, 0.00394704500887188)	(9, 0.004539101760202663)	(10, 0.004996600158958267)	(12, 0.005794979717570988)	(14, 0.0065395359351536385)	(16, 0.0071674749138378015)	(18, 0.00784026667671369)	(20, 0.010692903751307459)	(22, 0.012325545095886282)	(24, 0.012845837392510303)	(26, 0.013150836325014039)	(28, 0.013608334723769643)	(30, 0.013958186440465106)	(32, 0.014397743725544018)	(34, 0.014774507112754517)	(36, 0.01519612328415674)	(38, 0.015545975000852204)	(40, 0.016012443956446153)	(42, 0.0164789129120401)	(44, 0.01687361741292729)	(46, 0.017358027482197932)	(48, 0.017905231449336985)	(50, 0.018407582632284314)	(52, 0.018847139917363233)	(54, 0.01941228499817898)	(56, 0.019968459522156378)	(58, 0.020802721308122482)	(60, 0.021385807502614915)	(62, 0.02212139316335922)	(64, 0.023027419404032086)	(66, 0.0238437400763215)	(68, 0.024884324669569538)	(70, 0.02579932146708075)	(72, 0.027117993322317492)	(74, 0.028320047938655744)	(76, 0.0294234264297722)	(78, 0.031109891115381094)	(80, 0.03254518020951633)	(82, 0.03418679211093349)	(84, 0.036312814081621306)	(86, 0.03826839547238055)	(88, 0.040511034681966845)	(90, 0.04278058556206818)	(92, 0.0456242520798236)	(94, 0.048790858643759455)	(96, 0.052020259105563724)	(98, 0.05515995399898453)	(100, 0.05931332181513835)	(102, 0.06367301243857411)	(104, 0.06829284921032189)	(106, 0.07319077324405834)	(108, 0.07867178347228726)	(110, 0.08443088096250487)	(112, 0.09069232963566981)	(114, 0.09762657007171063)	(116, 0.10562830677151452)	(118, 0.1146347458372131)	(120, 0.1243229472226259)	(122, 0.13486335150768147)	(124, 0.1460855181124513)	(126, 0.15937988334687886)	(128, 0.17323939366212218)	(130, 0.18905448536812475)	(132, 0.20572177997377009)	(134, 0.22436259708385137)	(136, 0.24474370222057162)	(138, 0.26747509324893837)
SRR39146138_2 - illumina_universal_adapter	(1, 0.0005202922966240206)	(2, 0.0009508790248645894)	(3, 0.0015249946625186812)	(4, 0.0018120524813457271)	(5, 0.0023502858916464382)	(6, 0.0029244015293005297)	(7, 0.0033549882575410984)	(8, 0.003982927236225261)	(9, 0.004557042873879353)	(10, 0.005014541272634957)	(12, 0.005803950274409333)	(14, 0.0065395359351536385)	(16, 0.0071854160275144924)	(18, 0.007867178347228726)	(20, 0.010639080410277387)	(22, 0.012469074005299806)	(24, 0.013016277972438862)	(26, 0.013393041359649359)	(28, 0.01394921588362676)	(30, 0.014406714282382365)	(32, 0.014927006579006384)	(34, 0.015357593307246955)	(36, 0.01586891504703263)	(38, 0.016281560661596507)	(40, 0.01681979407189722)	(42, 0.017366998039036276)	(44, 0.017797584767276844)	(46, 0.018371700404930937)	(48, 0.019026551054130134)	(50, 0.019546843350754156)	(52, 0.020129929545246592)	(54, 0.020802721308122482)	(56, 0.0214216897299683)	(58, 0.022300804300126126)	(60, 0.023009478290355396)	(62, 0.023825798962644806)	(64, 0.024794619101186088)	(66, 0.02568270422818226)	(68, 0.026830935503490444)	(70, 0.027889461210415176)	(72, 0.029235044736166955)	(74, 0.030553716591403695)	(76, 0.03181856510561037)	(78, 0.03360370591644106)	(80, 0.03516458280631312)	(82, 0.03682413582140698)	(84, 0.039066775030993275)	(86, 0.04111206199013598)	(88, 0.043417495097590686)	(90, 0.045848516000782234)	(92, 0.048701153075376)	(94, 0.05193055353718026)	(96, 0.05518686566949957)	(98, 0.058362442790273764)	(100, 0.062470957822235856)	(102, 0.06695623624140845)	(104, 0.07163886691102464)	(106, 0.07660855539946787)	(108, 0.08224206509394863)	(110, 0.08815366205041812)	(112, 0.09451378684880485)	(114, 0.10153773285322913)	(116, 0.10959329289406311)	(118, 0.1186266436302767)	(120, 0.128431462254588)	(122, 0.13906157210802703)	(124, 0.1502927092696352)	(126, 0.1635332511630327)	(128, 0.17717746811415572)	(130, 0.19275035478552294)	(132, 0.20924720881123976)	(134, 0.22794184926235111)	(136, 0.2483498660695864)	(138, 0.2711978743368516)
SRR39146894_1 - illumina_universal_adapter	(1, 0.00037929685948189244)	(2, 0.0006587787559422343)	(3, 0.0012576685340715383)	(4, 0.0014772614527189497)	(5, 0.002016262253035323)	(6, 0.002315707142099975)	(7, 0.0027149669941861775)	(8, 0.00311422684627238)	(9, 0.0037530426096103043)	(10, 0.004042506002372801)	(12, 0.004581506802689175)	(14, 0.005200359573422788)	(16, 0.005869119825667178)	(18, 0.0067375100039546686)	(20, 0.014612910586355016)	(22, 0.015441374779433886)	(24, 0.0158605976241244)	(26, 0.016140079520584737)	(28, 0.01635967243923215)	(30, 0.01666909882459896)	(32, 0.016938599224757142)	(34, 0.017238044113821797)	(36, 0.01761734097330369)	(38, 0.017856896884555412)	(40, 0.018196267758828683)	(42, 0.018435823670080405)	(44, 0.01866539808502997)	(46, 0.01885504651477092)	(48, 0.01911456541862695)	(50, 0.019364102826180826)	(52, 0.01980328866347565)	(54, 0.020022881582123057)	(56, 0.020312344974885557)	(58, 0.020631752856554518)	(60, 0.021040994204942876)	(62, 0.021360402086611836)	(64, 0.02179958792390666)	(66, 0.02234857022052519)	(68, 0.02279773755412217)	(70, 0.023246904887719147)	(72, 0.02382583167324414)	(74, 0.024324906488351894)	(76, 0.024963722251689816)	(78, 0.025622501007632054)	(80, 0.02672046560086911)	(82, 0.027778504208897548)	(84, 0.02871676486130012)	(86, 0.029844673943443645)	(88, 0.03102249050709794)	(90, 0.03207054761882422)	(92, 0.03359771655305395)	(94, 0.03519475596139876)	(96, 0.037081258762506064)	(98, 0.039017669045124145)	(100, 0.04110380177227456)	(102, 0.043479397892187466)	(104, 0.0456254195971508)	(106, 0.0483803125765456)	(108, 0.05151450241542229)	(110, 0.05480839619513346)	(112, 0.058521512819535146)	(114, 0.06285348221467044)	(116, 0.06700578467636695)	(118, 0.07214625527197681)	(120, 0.07829485699410432)	(122, 0.08538171936863442)	(124, 0.09250850772837314)	(126, 0.09995470396978082)	(128, 0.10833916086359108)	(130, 0.1173724150170414)	(132, 0.12776315266758484)	(134, 0.13915203994834374)	(136, 0.1521878741189583)	(138, 0.16587250554921287)
SRR39146894_2 - illumina_universal_adapter	(1, 0.0004192228446905127)	(2, 0.0006987047411508545)	(3, 0.0012975945192801584)	(4, 0.0015171874379275698)	(5, 0.0020561882382439433)	(6, 0.0023356701347042852)	(7, 0.002734929986790488)	(8, 0.0031741158240853108)	(9, 0.003812931587423235)	(10, 0.004162283957998662)	(12, 0.004701284758315036)	(14, 0.00530017453644434)	(16, 0.005968934788688729)	(18, 0.0067774359891632895)	(20, 0.014193687741664502)	(22, 0.015052096423649838)	(24, 0.01549128226094466)	(26, 0.015800708646311466)	(28, 0.016080190542771808)	(30, 0.016489431891160165)	(32, 0.016768913787620507)	(34, 0.017148210647102403)	(36, 0.01759737798069938)	(38, 0.01793674885497265)	(40, 0.018365953195965318)	(42, 0.018695342573936437)	(44, 0.019054676440814017)	(46, 0.01931419534467005)	(48, 0.019673529211547632)	(50, 0.020002918589518748)	(52, 0.020492011908324347)	(54, 0.020761512308482534)	(56, 0.021090901686453653)	(58, 0.021510124531144165)	(60, 0.021949310368438987)	(62, 0.02234857022052519)	(64, 0.02281770054672648)	(66, 0.023446534813762247)	(68, 0.023955591125172156)	(70, 0.02449459192548853)	(72, 0.025133407688826454)	(74, 0.025672408489142824)	(76, 0.026520835674826007)	(78, 0.027259466401185484)	(80, 0.02839735697963116)	(82, 0.02946537708396175)	(84, 0.030393656240062173)	(86, 0.03163136178152941)	(88, 0.032809178345183695)	(90, 0.03391712443472291)	(92, 0.035464256361556944)	(94, 0.037021369784693135)	(96, 0.038957780067311217)	(98, 0.040884208853627146)	(100, 0.042980323077079705)	(102, 0.04539584518220124)	(104, 0.04752190389456026)	(106, 0.050356648844372305)	(108, 0.05348085718694684)	(110, 0.05673482498144939)	(112, 0.060507830583664005)	(114, 0.06490967045291438)	(116, 0.06913184338872598)	(118, 0.07429227697694016)	(120, 0.08044087869906766)	(122, 0.08756766705880639)	(124, 0.09466451092963864)	(126, 0.10218057764516139)	(128, 0.11050514556115873)	(130, 0.11954838121091121)	(132, 0.13003893382447618)	(134, 0.1414278211052351)	(136, 0.1546333407129863)	(138, 0.1684277686025646)
SRR39146895_1 - illumina_universal_adapter	(1, 0.00030247742242352096)	(2, 0.0005104306503396916)	(3, 0.0008696225894676227)	(4, 0.0011910048507926137)	(5, 0.0016447209844278952)	(6, 0.0020984371180631767)	(7, 0.0024576290571911076)	(8, 0.0030247742242352094)	(9, 0.0033650613244616706)	(10, 0.003799872619195482)	(12, 0.004348112947338114)	(14, 0.005028687147791036)	(16, 0.0057281661871454274)	(18, 0.00648435974320423)	(20, 0.00808181863037845)	(22, 0.008743487991929902)	(24, 0.009102679931057834)	(26, 0.009329537997875476)	(28, 0.009575300903594585)	(30, 0.009858873487116636)	(32, 0.010180255748441627)	(34, 0.010397661395808533)	(36, 0.010662329140429114)	(38, 0.010908092046148225)	(40, 0.01118221221021954)	(42, 0.011465784793741591)	(44, 0.011862786410672461)	(46, 0.012278692866504803)	(48, 0.01268514690288641)	(50, 0.01310105335871875)	(52, 0.013516959814551092)	(54, 0.014027390464890783)	(56, 0.014500011437427535)	(58, 0.015095513862823842)	(60, 0.01572882596602309)	(62, 0.01627706629416572)	(64, 0.01678749694450541)	(66, 0.017430261467155393)	(68, 0.018110835667608315)	(70, 0.018923743740371528)	(72, 0.01973665181313474)	(74, 0.020662988919306777)	(76, 0.02165549296163395)	(78, 0.02261018732615819)	(80, 0.02379173975750007)	(82, 0.02480314863872872)	(84, 0.026173749459085297)	(86, 0.027497088182188198)	(88, 0.028877141421995517)	(90, 0.030134313208943275)	(92, 0.031779034193371164)	(94, 0.033650613244616705)	(96, 0.03550328745696077)	(98, 0.03707238908578278)	(100, 0.03891561087867612)	(102, 0.041344882677515016)	(104, 0.04371743995964951)	(106, 0.0462506883724465)	(108, 0.04928491501613244)	(110, 0.05219626020695883)	(112, 0.05538172556185654)	(114, 0.05885076350027629)	(116, 0.06286804176683869)	(118, 0.06749972729769885)	(120, 0.07221648460361563)	(122, 0.07743422014042137)	(124, 0.08344595891108884)	(126, 0.09048801140188645)	(128, 0.0975489687315855)	(130, 0.10577257365372497)	(132, 0.11396782131751225)	(134, 0.12428986335771491)	(136, 0.13525466992056753)	(138, 0.14654085874474515)
SRR39146895_2 - illumina_universal_adapter	(1, 0.000321382261324991)	(2, 0.0005293354892411616)	(3, 0.0008885274283690928)	(4, 0.0011910048507926137)	(5, 0.0016447209844278952)	(6, 0.0021173419569646464)	(7, 0.002495438734994048)	(8, 0.00308148874093962)	(9, 0.003402871002264611)	(10, 0.003837682296998422)	(12, 0.004357565366788848)	(14, 0.005047591986692506)	(16, 0.005737618606596163)	(18, 0.00646545490430276)	(20, 0.008053461372026244)	(22, 0.008838012186437254)	(24, 0.009310633158974003)	(26, 0.009669825098101936)	(28, 0.010000659778877662)	(30, 0.010378756556907062)	(32, 0.010794663012739403)	(34, 0.01116330737131807)	(36, 0.011550856568798206)	(38, 0.011862786410672461)	(40, 0.012278692866504803)	(42, 0.012704051741787879)	(44, 0.013214482392127571)	(46, 0.013762722720270203)	(48, 0.01437712998456798)	(50, 0.015010442087767226)	(52, 0.01546415822140251)	(54, 0.016097470324601758)	(56, 0.016636258233293653)	(58, 0.017411356628253924)	(60, 0.018233717120467872)	(62, 0.018971005837625204)	(64, 0.01957596068247225)	(66, 0.020369963916333986)	(68, 0.02113560989184353)	(70, 0.022118661514719966)	(72, 0.023007188943089063)	(74, 0.024065859921571384)	(76, 0.025247412352913265)	(78, 0.026428964784255143)	(80, 0.027705041410104374)	(82, 0.02890549868034772)	(84, 0.030380076114662386)	(86, 0.03181684387117411)	(88, 0.03336704066109465)	(90, 0.03487942777321226)	(92, 0.03667538746885192)	(94, 0.038641490714604806)	(96, 0.04070211815486503)	(98, 0.042516982689406166)	(100, 0.044492538354609784)	(102, 0.04699742950905457)	(104, 0.04949286824404862)	(106, 0.052205712626409564)	(108, 0.055325011045152125)	(110, 0.058311975591584395)	(112, 0.061573060302087985)	(114, 0.06509881275721215)	(116, 0.06922006763773263)	(118, 0.07383284832969132)	(120, 0.07865358224956617)	(122, 0.08406981859483736)	(124, 0.09021389123781512)	(126, 0.09729375340641566)	(128, 0.10456266396403091)	(130, 0.11297531727518507)	(132, 0.12105713590556352)	(134, 0.13134136826796322)	(136, 0.14224000789466074)	(138, 0.15349783946048615)
SRR39146896_1 - illumina_universal_adapter	(1, 0.0003791772789836978)	(2, 0.0005576136455642615)	(3, 0.0010483136536608116)	(4, 0.0011375318369510935)	(5, 0.0013828818409993685)	(6, 0.0017620591199830663)	(7, 0.0019628000323862007)	(8, 0.002230454582257046)	(9, 0.00240889094883761)	(10, 0.002799220500732593)	(12, 0.003100331869337294)	(14, 0.00339029096503071)	(16, 0.003747163698191837)	(18, 0.0040594273397078235)	(20, 0.005185806903747632)	(22, 0.00554267963690876)	(24, 0.0058437910055134604)	(26, 0.006222968284497158)	(28, 0.006412556923989007)	(30, 0.006635602382214712)	(32, 0.0068140387487952755)	(34, 0.007003627388287125)	(36, 0.007193216027778973)	(38, 0.0073605001214482515)	(40, 0.00750547966929496)	(42, 0.007650459217141668)	(44, 0.007895809221189943)	(46, 0.008118854679415647)	(48, 0.008364204683463923)	(50, 0.008620706960423483)	(52, 0.008932970601939469)	(54, 0.009300995608011883)	(56, 0.00944597515585859)	(58, 0.009735934251552007)	(60, 0.010025893347245421)	(62, 0.010271243351293697)	(64, 0.010583506992809685)	(66, 0.010862313815591815)	(68, 0.011208034275841657)	(70, 0.011486841098623787)	(72, 0.01187717065051877)	(74, 0.012256347929502469)	(76, 0.012735895664687732)	(78, 0.013282357037340708)	(80, 0.013806513864171116)	(82, 0.014408736601380517)	(84, 0.015055568430235061)	(86, 0.015691247986178318)	(88, 0.016271166177565154)	(90, 0.017152195737556684)	(92, 0.017977463932991794)	(94, 0.018780427582604328)	(96, 0.019851045782087712)	(98, 0.020910511708659808)	(100, 0.022036891272699616)	(102, 0.02305174810762657)	(104, 0.024155823125843807)	(106, 0.025594466331399605)	(108, 0.027624180001253516)	(110, 0.029564675487817146)	(112, 0.03178397779716291)	(114, 0.034817396029032485)	(116, 0.037583159711031225)	(118, 0.041084973405174786)	(120, 0.045077487107414896)	(122, 0.049315350813703286)	(124, 0.053954696344797944)	(126, 0.05868326005918288)	(128, 0.06427054878773678)	(130, 0.07103997844488692)	(132, 0.07795438764988376)	(134, 0.08563830368575928)	(136, 0.09554152203098057)	(138, 0.10579046083645169)
SRR39146896_2 - illumina_universal_adapter	(1, 0.0003791772789836978)	(2, 0.000535309099741691)	(3, 0.0010260091078382412)	(4, 0.001115227291128523)	(5, 0.0013828818409993685)	(6, 0.0017620591199830663)	(7, 0.00194049548656363)	(8, 0.002230454582257046)	(9, 0.00240889094883761)	(10, 0.002776915954910022)	(12, 0.0030668750506034383)	(14, 0.0033679864192081395)	(16, 0.003736011425280552)	(18, 0.004037122793885253)	(20, 0.005118893266279921)	(22, 0.005486918272352334)	(24, 0.00582148645969089)	(26, 0.006200663738674588)	(28, 0.006457166015634149)	(30, 0.006724820565504994)	(32, 0.006959018296641984)	(34, 0.0072378251194241145)	(36, 0.00750547966929496)	(38, 0.007750829673343235)	(40, 0.008007331950302794)	(42, 0.00820807286270593)	(44, 0.008553793322955772)	(46, 0.008921818329028185)	(48, 0.009178320605987745)	(50, 0.009535193339148873)	(52, 0.010048197893067993)	(54, 0.010516593355341972)	(56, 0.010750791086478962)	(58, 0.011051902455083664)	(60, 0.011453384279889931)	(62, 0.01178795246722849)	(64, 0.01232326156697018)	(66, 0.01266898202722002)	(68, 0.013081616124937575)	(70, 0.013483097949743844)	(72, 0.014040711595308106)	(74, 0.014553716149227226)	(76, 0.015100177521880202)	(78, 0.015769313896557315)	(80, 0.016449602544145715)	(82, 0.01710758664591154)	(84, 0.017877093476790222)	(86, 0.018668904853491475)	(88, 0.019371498046902448)	(90, 0.02034174579018426)	(92, 0.021189318531441938)	(94, 0.022103804910167328)	(96, 0.02330825038458613)	(98, 0.024468086767359794)	(100, 0.025639075423044742)	(102, 0.026731998168350698)	(104, 0.02796990046150336)	(106, 0.029475457304526866)	(108, 0.0314828664285582)	(110, 0.0335237323713234)	(112, 0.035854557409782016)	(114, 0.03895488927911931)	(116, 0.04172065296111804)	(118, 0.045255923473995464)	(120, 0.04931535081370329)	(122, 0.05362012815745938)	(124, 0.05835984414475561)	(126, 0.06323338740698725)	(128, 0.06892104659174272)	(130, 0.07581315125091699)	(132, 0.08276101727464769)	(134, 0.09048954240216836)	(136, 0.10054889256814764)	(138, 0.11086474501108648)
