Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39139285_1	(1, 1.8728457591655198e-05)	(2, 0.23204558956060792)	(3, 0.0)	(4, 0.013053734941383675)	(5, 0.0)	(6, 0.0005993106429329663)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009963539438760565)	(15, 0.0027680660320466384)	(20, 0.0006105477174879595)	(25, 0.0001797931928798899)	(30, 0.0030002989061831626)	(35, 0.003858062263880971)	(40, 0.00038206053486976603)	(45, 9.3642287958276e-05)	(50, 0.0012435695840859052)	(55, 0.00010113367099493807)	(60, 0.00019103026743488301)	(65, 7.491383036662079e-06)	(70, 0.00133346618052585)	(75, 0.0010937419233526637)	(80, 0.002861708320004914)	(85, 0.0008615090492161392)	(90, 0.001221095434975919)	(95, 0.0006367675581162768)	(100, 3.7456915183310395e-06)	(105, 0.00020975872502653823)	(110, 5.243968125663456e-05)	(115, 0.015537128418037153)	(120, 0.0014720567667040987)	(125, 0.001123707455499312)	(130, 0.0011948755943476017)	(135, 0.0004906855889013662)	(140, 0.000749138303666208)	(145, 0.00044573729068139376)	(150, 0.0)
SRR39139285_2	(1, 0.017773306254480783)	(2, 0.14272957530600427)	(3, 0.01142435913090967)	(4, 0.015806818207356986)	(5, 0.0023785141141402103)	(6, 0.005393795786396698)	(7, 0.010225737845043738)	(8, 0.004869398973830352)	(9, 0.007360283833520493)	(10, 0.010499173325881905)	(15, 0.006000597812366325)	(20, 0.004513558279588903)	(25, 0.005895718449853057)	(30, 0.0034198163562362393)	(35, 0.018436293653225376)	(40, 0.005322627647548407)	(45, 0.007659939154986976)	(50, 0.010053436035200512)	(55, 0.00874993538682131)	(60, 0.006416369570901071)	(65, 0.004348747852782337)	(70, 0.010525393166510221)	(75, 0.0071280509593839685)	(80, 0.004727062696133772)	(85, 0.004371222001892323)	(90, 0.003090195502623108)	(95, 0.002460919327543493)	(100, 0.0030639756619947906)	(105, 0.004146480510792461)	(110, 0.0044199159916306265)	(115, 0.007438943355405445)	(120, 0.00407156668042584)	(125, 0.0032737343870213285)	(130, 0.005966886588701347)	(135, 0.003322428376759632)	(140, 0.007641210697395321)	(145, 0.006547468774042657)	(150, 0.007828495273311873)
SRR39146138_1	(1, 1.7941113676690365e-05)	(2, 0.2294668439248698)	(3, 0.0)	(4, 0.013527599712224536)	(5, 0.0)	(6, 0.0008432323428044473)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009437025793939133)	(15, 0.00255122636482537)	(20, 0.0005884685285954441)	(25, 0.00020452869591427016)	(30, 0.002838284183652416)	(35, 0.00404033879999067)	(40, 0.00031935182344508854)	(45, 0.0001327642412075087)	(50, 0.0011482312753081834)	(55, 7.176445470676146e-05)	(60, 0.00017941113676690366)	(65, 3.5882227353380735e-06)	(70, 0.0012379368436916352)	(75, 0.0010585257069247317)	(80, 0.0028705781882704586)	(85, 0.0009114085747758706)	(90, 0.0009401143566585752)	(95, 0.0005705274149187537)	(100, 2.1529336412028443e-05)	(105, 0.00012558779573683255)	(110, 5.38233410300711e-05)	(115, 0.015720003803516097)	(120, 0.001510641771577329)	(125, 0.00117334883445555)	(130, 0.0010621139296600696)	(135, 0.0004772336237999638)	(140, 0.0006243507559488248)	(145, 0.0003982927236225261)	(150, 0.0)
SRR39146138_2	(1, 0.01795905479036706)	(2, 0.14334949827675603)	(3, 0.01216407507279607)	(4, 0.014352890941352295)	(5, 0.0019914636181126307)	(6, 0.0052567463072702774)	(7, 0.009975259204239844)	(8, 0.00489792403373647)	(9, 0.007965854472450523)	(10, 0.010086494109035324)	(15, 0.005949273295190525)	(20, 0.004183867709404193)	(25, 0.006035390640838639)	(30, 0.00324016513001028)	(35, 0.017686349862481365)	(40, 0.004998394270325936)	(45, 0.007416856393943798)	(50, 0.00962720159891205)	(55, 0.008450264541721163)	(60, 0.006110743318280739)	(65, 0.00439557285078914)	(70, 0.009842494963032336)	(75, 0.007330739048295684)	(80, 0.004743630456116933)	(85, 0.003993691904431276)	(90, 0.003006930652213305)	(95, 0.002386168118999819)	(100, 0.002985401315801277)	(105, 0.004280749723258322)	(110, 0.004574983987556043)	(115, 0.007517326630533264)	(120, 0.004029574131784656)	(125, 0.003225812239068928)	(130, 0.0060102730816912735)	(135, 0.0031145773342734478)	(140, 0.007377385943855079)	(145, 0.006530565378315294)	(150, 0.008378500087014401)
SRR39146893_1	(1, 2.0560766110593892e-05)	(2, 0.23686002559404168)	(3, 0.0)	(4, 0.012953282649674153)	(5, 0.0)	(6, 0.0005345799188754412)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007484118864256177)	(15, 0.002417946094605842)	(20, 0.0005222434592090849)	(25, 0.00018915904821746382)	(30, 0.002631778062156018)	(35, 0.0035158910049115557)	(40, 0.00027962641910407696)	(45, 9.457952410873191e-05)	(50, 0.0011267299828605455)	(55, 3.700937899906901e-05)	(60, 0.00014392536277415727)	(65, 8.224306444237557e-06)	(70, 0.0010485990716402886)	(75, 0.0009499073943094379)	(80, 0.002335703030163466)	(85, 0.0007072903542044299)	(90, 0.0009375709346430816)	(95, 0.0004605611608773032)	(100, 4.112153222118779e-06)	(105, 0.00014803751599627604)	(110, 4.934583866542535e-05)	(115, 0.015358892284613639)	(120, 0.001188412281192327)	(125, 0.0009869167733085069)	(130, 0.0009869167733085069)	(135, 0.0004441125479888281)	(140, 0.0006579445155390045)	(145, 0.00036598163676857133)	(150, 0.0)
SRR39146893_2	(1, 0.014495340107968695)	(2, 0.14287676370251695)	(3, 0.011843001279702083)	(4, 0.014680387002964042)	(5, 0.0020560766110593897)	(6, 0.004934583866542534)	(7, 0.009046737088661314)	(8, 0.004400003947667094)	(9, 0.006579445155390046)	(10, 0.009478513176983784)	(15, 0.005929724946295279)	(20, 0.0040299101576764034)	(25, 0.005769350970632647)	(30, 0.0029443017070370455)	(35, 0.017250482766788276)	(40, 0.004724864052214477)	(45, 0.007257950437039644)	(50, 0.008812344355000543)	(55, 0.007981689404132549)	(60, 0.005637762067524845)	(65, 0.004099816762452422)	(70, 0.009478513176983784)	(75, 0.006550660082835215)	(80, 0.004256078584892936)	(85, 0.004280751504225649)	(90, 0.002931965247370689)	(95, 0.0022575721189432092)	(100, 0.0029443017070370455)	(105, 0.0042231813591159855)	(110, 0.004214957052671748)	(115, 0.00750879178358889)	(120, 0.0038859847949022463)	(125, 0.0029566381667034017)	(130, 0.005608976994970014)	(135, 0.0030800027633669656)	(140, 0.007294959816038713)	(145, 0.006176454139622406)	(150, 0.006620566687611233)
SRR39146894_1	(1, 0.0)	(2, 0.23476479302668712)	(3, 0.0)	(4, 0.013135649133636065)	(5, 0.0)	(6, 0.0007386307263594748)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0009741940390903343)	(15, 0.002679033607498419)	(20, 0.0005629563914415456)	(25, 0.00020362252456396332)	(30, 0.0027708633734782463)	(35, 0.003860842769673579)	(40, 0.0004232154432113748)	(45, 0.00011977795562586078)	(50, 0.0012416981399880902)	(55, 0.00013175575118844687)	(60, 0.0002754892979394798)	(65, 3.992598520862026e-06)	(70, 0.0012896093222384344)	(75, 0.0009901644331737824)	(80, 0.002802804161645142)	(85, 0.0008823642731105077)	(90, 0.0011818091621751598)	(95, 0.00061086757369189)	(100, 0.0)	(105, 0.00015970394083448104)	(110, 5.589637929206836e-05)	(115, 0.015191837371880009)	(120, 0.0014892392482815358)	(125, 0.0011418831769665395)	(130, 0.0011498683740082634)	(135, 0.0005429933988372356)	(140, 0.000770571514526371)	(145, 0.0004272080417322368)	(150, 0.0)
SRR39146894_2	(1, 0.01724802561012395)	(2, 0.1469875145455355)	(3, 0.011578535710499875)	(4, 0.014832503505002426)	(5, 0.0018365953195965319)	(6, 0.00608871274431459)	(7, 0.008284641930788704)	(8, 0.005390008003163735)	(9, 0.006428083618587863)	(10, 0.009909629528779548)	(15, 0.005925016204959247)	(20, 0.0041003986809253)	(25, 0.005857142030104592)	(30, 0.003253967794502551)	(35, 0.01813438248175532)	(40, 0.0046713402694085705)	(45, 0.007773589320118364)	(50, 0.009793844171674549)	(55, 0.008715842571041802)	(60, 0.00614860172212752)	(65, 0.00433596199365616)	(70, 0.01034482276755351)	(75, 0.006631706143151825)	(80, 0.004543577116740986)	(85, 0.0042760730158432295)	(90, 0.0028267597527703143)	(95, 0.002439477696246698)	(100, 0.003022397080292554)	(105, 0.0039007687548821995)	(110, 0.0042760730158432295)	(115, 0.00713477355678044)	(120, 0.0038967761563613373)	(125, 0.0030782934595846223)	(130, 0.005473852572101838)	(135, 0.0031301972403558285)	(140, 0.006767454492861134)	(145, 0.0061446091236066576)	(150, 0.0073863072635947475)
SRR39146895_1	(1, 0.0)	(2, 0.23207580235444647)	(3, 0.0)	(4, 0.012155811413645247)	(5, 0.0)	(6, 0.0005482403281426317)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000960365816194679)	(15, 0.0026769251884481604)	(20, 0.0005444593603623377)	(25, 0.00020039129235558263)	(30, 0.002858411641902273)	(35, 0.003992701975990476)	(40, 0.00027222968018116885)	(45, 0.00013233387231029043)	(50, 0.0011796619474517317)	(55, 7.940032338617425e-05)	(60, 0.00016636258233293651)	(65, 7.561935560588024e-06)	(70, 0.0011569761407699676)	(75, 0.0010057374295582072)	(80, 0.0027298587373722765)	(85, 0.0007675364593996844)	(90, 0.0009830516228764431)	(95, 0.0006049548448470419)	(100, 3.780967780294012e-06)	(105, 0.00013989580787087842)	(110, 2.6466774462058083e-05)	(115, 0.015528434673667508)	(120, 0.0013611484009058443)	(125, 0.0011418522696487916)	(130, 0.0010624519462626174)	(135, 0.00047262097253675153)	(140, 0.0006919171037938042)	(145, 0.00041590645583234134)	(150, 0.0)
SRR39146895_2	(1, 0.016258161455264254)	(2, 0.14399815791249745)	(3, 0.012344859802659947)	(4, 0.014915917893259877)	(5, 0.002174056473669057)	(6, 0.005803785542751308)	(7, 0.010284232362399712)	(8, 0.005161021020101326)	(9, 0.008299224277745355)	(10, 0.010303137201301183)	(15, 0.006057110384031007)	(20, 0.0045409423041331085)	(25, 0.006185663288561003)	(30, 0.003478490357870491)	(35, 0.01798228276307832)	(40, 0.005346288441335733)	(45, 0.007573278463928906)	(50, 0.009902354616590017)	(55, 0.008953331703736219)	(60, 0.00638983554869688)	(65, 0.004635466498640458)	(70, 0.010337165911323828)	(75, 0.007248115234823621)	(80, 0.004703523918685751)	(85, 0.00445776101296664)	(90, 0.00319491777434844)	(95, 0.0026504584139861024)	(100, 0.00317601293544697)	(105, 0.0045144755296710505)	(110, 0.004729990693147809)	(115, 0.008057242339806538)	(120, 0.004264931656171645)	(125, 0.003478490357870491)	(130, 0.006140291675197475)	(135, 0.0037204722958093074)	(140, 0.007240553299263033)	(145, 0.006745246520044517)	(150, 0.008544987183464466)
