Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39139285_1	(1, 38.69600005094141)	(2, 38.636469401071416)	(3, 39.057758563212666)	(4, 38.98785309697521)	(5, 38.86145511125827)	(6, 38.801434899506845)	(7, 38.7182011391397)	(8, 38.67929913616862)	(9, 38.63523107545546)	(10, 38.66778083509443)	(15, 39.163055720157885)	(20, 39.32186644811806)	(25, 39.12156611857211)	(30, 39.057856026105966)	(35, 39.102563176706)	(40, 39.11187736306314)	(45, 39.060402497027795)	(50, 39.05917563322787)	(55, 39.05068422546965)	(60, 39.01422516250683)	(65, 39.00645862097123)	(70, 38.944231897260174)	(75, 38.91208472454559)	(80, 38.8983022278624)	(85, 38.839381301657774)	(90, 38.829399932727384)	(95, 38.79321190800282)	(100, 38.76084815940464)	(105, 38.68313682187064)	(110, 38.653658079793715)	(115, 38.558527703509036)	(120, 38.55137425676116)	(125, 38.44609313137563)	(130, 38.35043034249854)	(135, 38.190499053463746)	(140, 38.10177433407223)	(145, 37.856446147818474)	(150, 37.77853523984037)
SRR39139285_2	(1, 37.81572958204825)	(2, 38.47843605392897)	(3, 38.85249316973152)	(4, 38.90421442735494)	(5, 38.92504833814905)	(6, 38.92376019483589)	(7, 38.91453905145606)	(8, 38.92889703618413)	(9, 38.997266768899074)	(10, 39.0529539647021)	(15, 39.126226507959224)	(20, 39.14410282073045)	(25, 38.86326892491911)	(30, 38.78826182683368)	(35, 38.76306148852283)	(40, 38.78151598623684)	(45, 38.78011764467921)	(50, 38.75370055593554)	(55, 38.731068038988155)	(60, 38.72144513273607)	(65, 38.68249128939438)	(70, 38.635902603030864)	(75, 38.61238393038407)	(80, 38.56659127838204)	(85, 38.53656079594447)	(90, 38.48074280059362)	(95, 38.438132113536405)	(100, 38.34823109718047)	(105, 38.27254527979191)	(110, 38.210169852127585)	(115, 38.166797141587885)	(120, 38.06064896352971)	(125, 37.85737065939903)	(130, 37.789737629291906)	(135, 37.63692660017815)	(140, 37.51350673887361)	(145, 37.32896745518467)	(150, 37.22698815687256)
SRR39146138_1	(1, 38.684963373216426)	(2, 38.63768602692244)	(3, 39.05587472796786)	(4, 38.98602494891268)	(5, 38.86435836298102)	(6, 38.80367039303598)	(7, 38.73159627470716)	(8, 38.68504626116162)	(9, 38.64355348873926)	(10, 38.67235220559081)	(15, 39.16679595033182)	(20, 39.32247895955893)	(25, 39.12463246731578)	(30, 39.058521329293)	(35, 39.10326438563347)	(40, 39.11071159839176)	(45, 39.05751160341527)	(50, 39.053109787056925)	(55, 39.043464644344326)	(60, 39.002871798184)	(65, 38.99443136537258)	(70, 38.93048650917957)	(75, 38.894775798872935)	(80, 38.878165126422054)	(85, 38.82011040961356)	(90, 38.810738833002326)	(95, 38.77189309249183)	(100, 38.741315334808085)	(105, 38.65816164584601)	(110, 38.62824749407495)	(115, 38.52984794906159)	(120, 38.521411893881904)	(125, 38.41696863355096)	(130, 38.316155721690265)	(135, 38.154583003665365)	(140, 38.061466398985246)	(145, 37.81042809291344)	(150, 37.729495370295616)
SRR39146138_2	(1, 37.79719042159823)	(2, 38.553428098295775)	(3, 38.859771179036166)	(4, 38.87125062121106)	(5, 38.895478659942334)	(6, 38.903949736175925)	(7, 38.890844470279646)	(8, 38.89652067982468)	(9, 38.96582684313546)	(10, 39.013133469326974)	(15, 39.088118784525435)	(20, 39.103557184608675)	(25, 38.83451927682959)	(30, 38.76365840837204)	(35, 38.72024091327445)	(40, 38.7247563327646)	(45, 38.7218563311499)	(50, 38.69734719104954)	(55, 38.6788121547457)	(60, 38.67076161821669)	(65, 38.63143225704593)	(70, 38.58950717554842)	(75, 38.563531169993844)	(80, 38.516555664996346)	(85, 38.485950780348745)	(90, 38.427017307792354)	(95, 38.38629133856855)	(100, 38.29325582772225)	(105, 38.21392015127947)	(110, 38.1505643377307)	(115, 38.104879516451106)	(120, 37.993516296810604)	(125, 37.787575994072256)	(130, 37.7139423623782)	(135, 37.558806772411586)	(140, 37.42837444539532)	(145, 37.23710638542177)	(150, 37.13565993695493)
SRR39146893_1	(1, 38.64582723363939)	(2, 38.59428673879932)	(3, 39.02376495590127)	(4, 38.95053079673791)	(5, 38.82559206782092)	(6, 38.762640759004796)	(7, 38.68739575691582)	(8, 38.64200498721943)	(9, 38.597829770015494)	(10, 38.6243602312017)	(15, 39.134462640265546)	(20, 39.296673021314106)	(25, 39.08601226408577)	(30, 39.017874049681396)	(35, 39.06518955381493)	(40, 39.073925165390804)	(45, 39.01975486632212)	(50, 39.018091829316035)	(55, 39.01116408478273)	(60, 38.97150368284442)	(65, 38.96433118295134)	(70, 38.89869422686584)	(75, 38.864530457896485)	(80, 38.851166206653794)	(85, 38.791883925428564)	(90, 38.78045921237462)	(95, 38.74294946657149)	(100, 38.710885280794265)	(105, 38.627346805843864)	(110, 38.599977629886475)	(115, 38.49812642074894)	(120, 38.49295563480131)	(125, 38.38394121923697)	(130, 38.28370468818365)	(135, 38.118499425943405)	(140, 38.028173019669254)	(145, 37.774237606792624)	(150, 37.69463561387868)
SRR39146893_2	(1, 37.59099496014501)	(2, 38.347737246567995)	(3, 38.692421630583894)	(4, 38.75491731282301)	(5, 38.78017086819069)	(6, 38.80033357786938)	(7, 38.80235511239337)	(8, 38.81886705244147)	(9, 38.884327597153735)	(10, 38.93598833135402)	(15, 39.01913565828994)	(20, 39.0367800853354)	(25, 38.72644106297516)	(30, 38.65135207597943)	(35, 38.61386363112999)	(40, 38.619762268197924)	(45, 38.6167457570803)	(50, 38.590844948795464)	(55, 38.57404598045247)	(60, 38.56747393717288)	(65, 38.5257984156696)	(70, 38.48253017498035)	(75, 38.455938195981936)	(80, 38.40727020465364)	(85, 38.37744969191748)	(90, 38.31978759906177)	(95, 38.27836110955763)	(100, 38.1792211252825)	(105, 38.09722158255395)	(110, 38.03556379265537)	(115, 37.984606894600574)	(120, 37.87279062231682)	(125, 37.6616445487652)	(130, 37.583385914065865)	(135, 37.42869896406636)	(140, 37.29581251213085)	(145, 37.09872983811275)	(150, 36.99635169766134)
SRR39146894_1	(1, 38.66987378797186)	(2, 38.626729768355425)	(3, 39.05406956583885)	(4, 38.982143702005224)	(5, 38.868289165544915)	(6, 38.80720999411292)	(7, 38.73785656150628)	(8, 38.70139615181377)	(9, 38.65655607634567)	(10, 38.689392963324586)	(15, 39.17218077128619)	(20, 39.32512125022633)	(25, 39.12349678166614)	(30, 39.0582870275084)	(35, 39.10101382057941)	(40, 39.110373349883986)	(45, 39.06081258562877)	(50, 39.0538939713559)	(55, 39.048024532122355)	(60, 39.0100140359801)	(65, 39.00086236135452)	(70, 38.938170100268124)	(75, 38.90644626990485)	(80, 38.89152545012057)	(85, 38.836252475161544)	(90, 38.82667159619497)	(95, 38.79193031957358)	(100, 38.760625073239225)	(105, 38.68119184655486)	(110, 38.65383184652291)	(115, 38.558791472368526)	(120, 38.551500508357606)	(125, 38.44960069024044)	(130, 38.35434383739424)	(135, 38.197818803502074)	(140, 38.10784791154158)	(145, 37.86575270763059)	(150, 37.79341935919193)
SRR39146894_2	(1, 37.85202192176144)	(2, 38.55049868553675)	(3, 38.84867832013014)	(4, 38.861891824934936)	(5, 38.90116821436421)	(6, 38.90973433449072)	(7, 38.91025736489696)	(8, 38.91758338392288)	(9, 38.97405549592166)	(10, 39.02543528806299)	(15, 39.10219539018567)	(20, 39.113011100022774)	(25, 38.8343793076395)	(30, 38.76523005652122)	(35, 38.724994006111466)	(40, 38.72922025149778)	(45, 38.72055176114519)	(50, 38.69702561391692)	(55, 38.679200258560684)	(60, 38.67036471788599)	(65, 38.63350217367045)	(70, 38.59027582667252)	(75, 38.56784365143896)	(80, 38.520965993241724)	(85, 38.48986357091225)	(90, 38.438360726884504)	(95, 38.39889732414051)	(100, 38.30475536450528)	(105, 38.23143608378787)	(110, 38.17296847104837)	(115, 38.12618000750209)	(120, 38.01974379894551)	(125, 37.81745424332373)	(130, 37.74621542584357)	(135, 37.598310971121734)	(140, 37.47513204022383)	(145, 37.28807448751505)	(150, 37.194230934693266)
SRR39146895_1	(1, 38.68789453217235)	(2, 38.636425730166316)	(3, 39.06151313196277)	(4, 38.995700472488636)	(5, 38.87122609790325)	(6, 38.808690025107516)	(7, 38.73290014785474)	(8, 38.68707330597047)	(9, 38.64233613900048)	(10, 38.67455225306925)	(15, 39.17177401684913)	(20, 39.328839350649034)	(25, 39.13607842937086)	(30, 39.06905328914895)	(35, 39.11209552388239)	(40, 39.11889491386105)	(45, 39.06454645117419)	(50, 39.05848987012565)	(55, 39.047815366268956)	(60, 39.007146596249925)	(65, 38.99627207919766)	(70, 38.930390228013145)	(75, 38.89445167554533)	(80, 38.87826081531655)	(85, 38.81899346478623)	(90, 38.805490343313764)	(95, 38.76713378633108)	(100, 38.73185486150221)	(105, 38.64824178381522)	(110, 38.616365503130545)	(115, 38.51715109371109)	(120, 38.50774880989313)	(125, 38.396545859074635)	(130, 38.29683500858563)	(135, 38.133115776447255)	(140, 38.04143320608486)	(145, 37.791161647526465)	(150, 37.710406225287834)
SRR39146895_2	(1, 37.763419174535336)	(2, 38.47002117909102)	(3, 38.816921191965214)	(4, 38.838644364250115)	(5, 38.86301950733612)	(6, 38.860962660863635)	(7, 38.86802588677401)	(8, 38.873048902470124)	(9, 38.94059135470374)	(10, 38.99503063623668)	(15, 39.0727743663996)	(20, 39.093336857195304)	(25, 38.81434899958428)	(30, 38.74101939806614)	(35, 38.70182815463629)	(40, 38.70213895018783)	(45, 38.693313642053134)	(50, 38.66848175805927)	(55, 38.64491642265246)	(60, 38.63706168894696)	(65, 38.59401703439414)	(70, 38.548087955141085)	(75, 38.51910887882773)	(80, 38.468313315944656)	(85, 38.43286455004309)	(90, 38.37558424932004)	(95, 38.33048289953345)	(100, 38.23217735914903)	(105, 38.150227151091826)	(110, 38.0825342919599)	(115, 38.03566405420698)	(120, 37.9194453471505)	(125, 37.70889535056283)	(130, 37.63095432950113)	(135, 37.47170571366617)	(140, 37.34025242875192)	(145, 37.142704651025184)	(150, 37.03801403911147)
