Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR39139285_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0)	(9.0, 4.5)	(10.0, 6.0)	(11.0, 3.5)	(12.0, 5.5)	(13.0, 9.5)	(14.0, 17.5)	(15.0, 28.0)	(16.0, 38.5)	(17.0, 56.0)	(18.0, 75.0)	(19.0, 105.0)	(20.0, 140.5)	(21.0, 169.5)	(22.0, 212.5)	(23.0, 315.0)	(24.0, 481.0)	(25.0, 652.5)	(26.0, 856.0)	(27.0, 1200.0)	(28.0, 1665.0)	(29.0, 2305.0)	(30.0, 3164.0)	(31.0, 3966.5)	(32.0, 4873.5)	(33.0, 6111.5)	(34.0, 7213.0)	(35.0, 8175.5)	(36.0, 9115.0)	(37.0, 10461.0)	(38.0, 11938.0)	(39.0, 13433.5)	(40.0, 15515.5)	(41.0, 17921.5)	(42.0, 20755.0)	(43.0, 24786.0)	(44.0, 30467.5)	(45.0, 37359.5)	(46.0, 45758.5)	(47.0, 56833.5)	(48.0, 70947.5)	(49.0, 87635.0)	(50.0, 106050.0)	(51.0, 125817.0)	(52.0, 148482.0)	(53.0, 171690.0)	(54.0, 194367.0)	(55.0, 219092.0)	(56.0, 243429.5)	(57.0, 266367.0)	(58.0, 287929.0)	(59.0, 306503.5)	(60.0, 320711.0)	(61.0, 329239.0)	(62.0, 329552.5)	(63.0, 317957.5)	(64.0, 295809.0)	(65.0, 265817.0)	(66.0, 229408.5)	(67.0, 189806.5)	(68.0, 150117.0)	(69.0, 114261.5)	(70.0, 83549.5)	(71.0, 57950.0)	(72.0, 38003.0)	(73.0, 23401.5)	(74.0, 13815.5)	(75.0, 7599.5)	(76.0, 3919.5)	(77.0, 2041.0)	(78.0, 1041.5)	(79.0, 521.0)	(80.0, 223.5)	(81.0, 83.0)	(82.0, 34.0)	(83.0, 12.5)	(84.0, 6.5)	(85.0, 5.0)	(86.0, 3.0)	(87.0, 2.0)	(88.0, 1.5)	(89.0, 0.5)	(90.0, 1.5)	(91.0, 1.5)	(92.0, 0.5)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 3.0)	(98.0, 22.5)	(99.0, 28.5)	(100.0, 9.5)
SRR39139285_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 2.5)	(9.0, 4.5)	(10.0, 4.0)	(11.0, 4.0)	(12.0, 12.0)	(13.0, 12.5)	(14.0, 18.0)	(15.0, 33.0)	(16.0, 32.5)	(17.0, 53.5)	(18.0, 81.0)	(19.0, 112.5)	(20.0, 146.0)	(21.0, 182.5)	(22.0, 255.5)	(23.0, 321.0)	(24.0, 449.5)	(25.0, 678.5)	(26.0, 901.5)	(27.0, 1191.5)	(28.0, 1624.5)	(29.0, 2350.5)	(30.0, 3233.5)	(31.0, 4035.5)	(32.0, 4955.0)	(33.0, 6090.5)	(34.0, 7281.5)	(35.0, 8203.5)	(36.0, 9130.0)	(37.0, 10538.0)	(38.0, 12061.0)	(39.0, 13470.0)	(40.0, 15533.5)	(41.0, 17955.0)	(42.0, 20708.0)	(43.0, 24986.5)	(44.0, 30630.5)	(45.0, 37397.0)	(46.0, 46121.5)	(47.0, 57714.0)	(48.0, 71939.5)	(49.0, 88260.0)	(50.0, 106865.0)	(51.0, 126888.0)	(52.0, 148784.5)	(53.0, 171971.0)	(54.0, 195409.0)	(55.0, 219533.5)	(56.0, 244052.5)	(57.0, 267415.0)	(58.0, 288244.5)	(59.0, 307483.0)	(60.0, 322009.0)	(61.0, 329908.0)	(62.0, 329045.0)	(63.0, 316411.0)	(64.0, 293171.5)	(65.0, 263338.5)	(66.0, 227310.0)	(67.0, 186574.0)	(68.0, 147438.0)	(69.0, 111894.5)	(70.0, 81212.0)	(71.0, 55749.0)	(72.0, 36162.5)	(73.0, 22622.5)	(74.0, 13415.0)	(75.0, 7461.0)	(76.0, 4044.5)	(77.0, 2201.5)	(78.0, 1211.5)	(79.0, 731.5)	(80.0, 452.0)	(81.0, 304.5)	(82.0, 262.0)	(83.0, 228.5)	(84.0, 222.0)	(85.0, 229.0)	(86.0, 197.0)	(87.0, 179.5)	(88.0, 192.0)	(89.0, 203.0)	(90.0, 203.5)	(91.0, 197.0)	(92.0, 185.0)	(93.0, 181.5)	(94.0, 192.0)	(95.0, 236.5)	(96.0, 284.0)	(97.0, 368.0)	(98.0, 565.5)	(99.0, 1013.0)	(100.0, 3483.5)
SRR39146138_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 7.5)	(22.0, 12.5)	(23.0, 17.5)	(24.0, 26.0)	(25.0, 27.0)	(26.0, 30.5)	(27.0, 66.0)	(28.0, 150.5)	(29.0, 270.5)	(30.0, 440.0)	(31.0, 748.5)	(32.0, 1146.5)	(33.0, 1659.5)	(34.0, 2398.5)	(35.0, 3330.5)	(36.0, 4183.5)	(37.0, 5171.0)	(38.0, 6650.0)	(39.0, 8318.0)	(40.0, 10099.5)	(41.0, 12151.0)	(42.0, 14597.0)	(43.0, 17841.0)	(44.0, 21567.0)	(45.0, 26146.0)	(46.0, 32628.0)	(47.0, 40202.5)	(48.0, 49143.0)	(49.0, 60406.0)	(50.0, 74880.0)	(51.0, 91904.5)	(52.0, 112419.0)	(53.0, 137318.0)	(54.0, 165837.0)	(55.0, 198811.0)	(56.0, 235490.5)	(57.0, 274324.5)	(58.0, 312152.5)	(59.0, 346313.0)	(60.0, 374156.0)	(61.0, 390665.5)	(62.0, 393072.0)	(63.0, 383288.5)	(64.0, 359680.0)	(65.0, 321863.5)	(66.0, 277077.5)	(67.0, 228750.5)	(68.0, 179599.5)	(69.0, 134898.0)	(70.0, 96897.5)	(71.0, 66066.5)	(72.0, 42675.5)	(73.0, 25912.0)	(74.0, 14610.5)	(75.0, 7834.5)	(76.0, 4045.5)	(77.0, 2019.0)	(78.0, 919.5)	(79.0, 375.0)	(80.0, 169.5)	(81.0, 77.0)	(82.0, 44.5)	(83.0, 38.0)	(84.0, 29.5)	(85.0, 15.0)	(86.0, 8.5)	(87.0, 3.5)	(88.0, 1.5)	(89.0, 3.0)	(90.0, 3.0)	(91.0, 1.0)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 0.0)	(95.0, 3.0)	(96.0, 4.0)	(97.0, 8.0)	(98.0, 35.0)	(99.0, 39.0)	(100.0, 11.0)
SRR39146138_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 4.5)	(21.0, 9.5)	(22.0, 11.0)	(23.0, 10.5)	(24.0, 24.5)	(25.0, 27.5)	(26.0, 29.5)	(27.0, 73.0)	(28.0, 139.0)	(29.0, 262.0)	(30.0, 436.5)	(31.0, 723.0)	(32.0, 1138.0)	(33.0, 1671.0)	(34.0, 2373.0)	(35.0, 3193.0)	(36.0, 4111.5)	(37.0, 5228.5)	(38.0, 6809.5)	(39.0, 8326.0)	(40.0, 9960.5)	(41.0, 11992.5)	(42.0, 14488.5)	(43.0, 17893.0)	(44.0, 21515.5)	(45.0, 26171.5)	(46.0, 32462.0)	(47.0, 39883.0)	(48.0, 49204.0)	(49.0, 60690.5)	(50.0, 75152.0)	(51.0, 92011.0)	(52.0, 112405.5)	(53.0, 137496.5)	(54.0, 165975.5)	(55.0, 199522.5)	(56.0, 237199.0)	(57.0, 275002.0)	(58.0, 311949.0)	(59.0, 347056.5)	(60.0, 373910.5)	(61.0, 389588.0)	(62.0, 392925.0)	(63.0, 381848.5)	(64.0, 357596.0)	(65.0, 319961.0)	(66.0, 274557.5)	(67.0, 227073.5)	(68.0, 178642.5)	(69.0, 133950.0)	(70.0, 95767.5)	(71.0, 65123.5)	(72.0, 42189.0)	(73.0, 25594.5)	(74.0, 14527.5)	(75.0, 7895.5)	(76.0, 4177.5)	(77.0, 2141.5)	(78.0, 1131.0)	(79.0, 608.0)	(80.0, 359.5)	(81.0, 285.5)	(82.0, 267.5)	(83.0, 230.0)	(84.0, 216.0)	(85.0, 215.5)	(86.0, 200.0)	(87.0, 194.0)	(88.0, 192.5)	(89.0, 199.5)	(90.0, 200.0)	(91.0, 186.0)	(92.0, 183.5)	(93.0, 198.0)	(94.0, 208.5)	(95.0, 210.0)	(96.0, 257.0)	(97.0, 405.5)	(98.0, 588.0)	(99.0, 955.5)	(100.0, 3410.0)
SRR39146893_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 1.0)	(21.0, 2.5)	(22.0, 11.5)	(23.0, 20.0)	(24.0, 25.5)	(25.0, 31.0)	(26.0, 49.0)	(27.0, 100.0)	(28.0, 146.0)	(29.0, 192.5)	(30.0, 267.5)	(31.0, 403.5)	(32.0, 669.5)	(33.0, 920.0)	(34.0, 1212.5)	(35.0, 1681.0)	(36.0, 2264.5)	(37.0, 2984.0)	(38.0, 3928.5)	(39.0, 5130.0)	(40.0, 6586.0)	(41.0, 8143.5)	(42.0, 10178.0)	(43.0, 12764.5)	(44.0, 15641.0)	(45.0, 19438.5)	(46.0, 23871.0)	(47.0, 28990.0)	(48.0, 36172.5)	(49.0, 45350.5)	(50.0, 56667.0)	(51.0, 70627.0)	(52.0, 87137.5)	(53.0, 107052.0)	(54.0, 131991.0)	(55.0, 161876.5)	(56.0, 195315.5)	(57.0, 231569.0)	(58.0, 268453.5)	(59.0, 303945.0)	(60.0, 334473.5)	(61.0, 354570.0)	(62.0, 362394.5)	(63.0, 356378.5)	(64.0, 335290.5)	(65.0, 301114.0)	(66.0, 258236.0)	(67.0, 211199.0)	(68.0, 163903.5)	(69.0, 120540.0)	(70.0, 84730.5)	(71.0, 56759.5)	(72.0, 35704.0)	(73.0, 21317.0)	(74.0, 12080.0)	(75.0, 6542.0)	(76.0, 3342.5)	(77.0, 1628.5)	(78.0, 783.0)	(79.0, 381.0)	(80.0, 172.5)	(81.0, 70.5)	(82.0, 32.5)	(83.0, 20.5)	(84.0, 16.5)	(85.0, 11.5)	(86.0, 11.5)	(87.0, 12.0)	(88.0, 8.0)	(89.0, 7.0)	(90.0, 8.0)	(91.0, 6.0)	(92.0, 5.5)	(93.0, 3.5)	(94.0, 1.5)	(95.0, 3.0)	(96.0, 4.5)	(97.0, 8.5)	(98.0, 20.5)	(99.0, 23.0)	(100.0, 8.5)
SRR39146893_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 0.0)	(20.0, 0.5)	(21.0, 3.0)	(22.0, 18.0)	(23.0, 26.5)	(24.0, 24.0)	(25.0, 40.0)	(26.0, 58.5)	(27.0, 88.5)	(28.0, 117.5)	(29.0, 157.0)	(30.0, 247.0)	(31.0, 396.5)	(32.0, 613.0)	(33.0, 849.0)	(34.0, 1244.0)	(35.0, 1729.5)	(36.0, 2190.0)	(37.0, 2896.0)	(38.0, 3944.0)	(39.0, 5243.0)	(40.0, 6578.5)	(41.0, 8159.0)	(42.0, 10333.5)	(43.0, 12918.0)	(44.0, 15656.0)	(45.0, 19313.5)	(46.0, 23851.5)	(47.0, 29154.5)	(48.0, 36120.0)	(49.0, 45218.5)	(50.0, 56692.0)	(51.0, 70645.0)	(52.0, 87425.5)	(53.0, 107790.5)	(54.0, 132893.5)	(55.0, 162395.5)	(56.0, 195770.5)	(57.0, 232631.0)	(58.0, 269358.0)	(59.0, 304541.5)	(60.0, 334888.5)	(61.0, 354326.0)	(62.0, 361597.5)	(63.0, 355473.5)	(64.0, 333667.0)	(65.0, 298859.5)	(66.0, 255744.0)	(67.0, 208312.0)	(68.0, 161532.5)	(69.0, 119283.0)	(70.0, 83801.0)	(71.0, 55387.5)	(72.0, 34718.0)	(73.0, 20884.5)	(74.0, 11891.0)	(75.0, 6503.0)	(76.0, 3448.5)	(77.0, 1827.5)	(78.0, 958.0)	(79.0, 571.0)	(80.0, 398.0)	(81.0, 282.0)	(82.0, 259.5)	(83.0, 256.0)	(84.0, 250.0)	(85.0, 232.0)	(86.0, 228.5)	(87.0, 239.0)	(88.0, 220.0)	(89.0, 222.5)	(90.0, 225.5)	(91.0, 219.0)	(92.0, 220.5)	(93.0, 235.5)	(94.0, 256.0)	(95.0, 265.0)	(96.0, 309.5)	(97.0, 438.5)	(98.0, 637.0)	(99.0, 1075.5)	(100.0, 3429.0)
SRR39146894_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 4.5)	(21.0, 12.5)	(22.0, 27.0)	(23.0, 48.0)	(24.0, 80.0)	(25.0, 141.0)	(26.0, 231.0)	(27.0, 362.5)	(28.0, 518.5)	(29.0, 729.5)	(30.0, 1097.0)	(31.0, 1529.5)	(32.0, 2018.0)	(33.0, 2717.5)	(34.0, 3583.0)	(35.0, 4511.0)	(36.0, 5453.0)	(37.0, 6433.0)	(38.0, 7716.0)	(39.0, 9191.0)	(40.0, 10942.0)	(41.0, 13279.0)	(42.0, 15984.5)	(43.0, 19081.0)	(44.0, 23041.0)	(45.0, 27971.5)	(46.0, 33564.5)	(47.0, 40054.0)	(48.0, 47946.0)	(49.0, 57792.0)	(50.0, 70345.0)	(51.0, 84684.5)	(52.0, 102215.0)	(53.0, 125073.5)	(54.0, 151475.0)	(55.0, 180883.5)	(56.0, 212854.5)	(57.0, 246506.5)	(58.0, 279239.0)	(59.0, 307886.5)	(60.0, 330849.5)	(61.0, 346229.5)	(62.0, 350827.5)	(63.0, 340544.0)	(64.0, 316497.0)	(65.0, 282644.0)	(66.0, 242372.0)	(67.0, 199537.0)	(68.0, 157086.0)	(69.0, 117762.5)	(70.0, 84064.5)	(71.0, 57251.0)	(72.0, 36944.0)	(73.0, 22321.0)	(74.0, 12679.5)	(75.0, 6905.5)	(76.0, 3700.5)	(77.0, 1940.5)	(78.0, 927.5)	(79.0, 381.0)	(80.0, 169.0)	(81.0, 78.5)	(82.0, 75.5)	(83.0, 71.5)	(84.0, 38.0)	(85.0, 18.0)	(86.0, 9.5)	(87.0, 7.5)	(88.0, 8.0)	(89.0, 5.5)	(90.0, 5.0)	(91.0, 4.5)	(92.0, 3.5)	(93.0, 3.0)	(94.0, 4.5)	(95.0, 3.5)	(96.0, 5.5)	(97.0, 10.5)	(98.0, 26.5)	(99.0, 28.0)	(100.0, 7.0)
SRR39146894_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 3.5)	(21.0, 19.5)	(22.0, 31.5)	(23.0, 44.5)	(24.0, 68.5)	(25.0, 122.0)	(26.0, 230.0)	(27.0, 389.5)	(28.0, 530.0)	(29.0, 721.0)	(30.0, 1053.0)	(31.0, 1544.0)	(32.0, 2151.5)	(33.0, 2821.0)	(34.0, 3644.0)	(35.0, 4439.5)	(36.0, 5344.5)	(37.0, 6483.0)	(38.0, 7678.0)	(39.0, 9165.5)	(40.0, 11120.0)	(41.0, 13674.5)	(42.0, 16373.5)	(43.0, 19446.0)	(44.0, 23606.5)	(45.0, 28689.0)	(46.0, 34120.5)	(47.0, 40320.0)	(48.0, 48329.5)	(49.0, 58144.5)	(50.0, 70489.0)	(51.0, 85339.5)	(52.0, 103285.0)	(53.0, 126330.5)	(54.0, 152654.5)	(55.0, 181306.5)	(56.0, 213838.5)	(57.0, 248047.0)	(58.0, 280565.0)	(59.0, 308013.5)	(60.0, 330571.5)	(61.0, 345877.0)	(62.0, 349014.0)	(63.0, 338045.0)	(64.0, 314098.0)	(65.0, 280312.0)	(66.0, 239656.5)	(67.0, 196628.5)	(68.0, 154707.5)	(69.0, 115532.5)	(70.0, 81552.5)	(71.0, 55302.0)	(72.0, 35992.5)	(73.0, 22057.0)	(74.0, 12551.5)	(75.0, 6851.0)	(76.0, 3736.5)	(77.0, 2081.5)	(78.0, 1103.5)	(79.0, 577.0)	(80.0, 385.0)	(81.0, 293.0)	(82.0, 267.5)	(83.0, 262.0)	(84.0, 246.5)	(85.0, 227.5)	(86.0, 199.0)	(87.0, 200.0)	(88.0, 219.0)	(89.0, 220.5)	(90.0, 209.0)	(91.0, 207.0)	(92.0, 208.0)	(93.0, 199.5)	(94.0, 207.0)	(95.0, 231.5)	(96.0, 287.0)	(97.0, 429.0)	(98.0, 641.5)	(99.0, 1085.0)	(100.0, 3664.5)
SRR39146895_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 5.0)	(20.0, 6.5)	(21.0, 4.5)	(22.0, 5.0)	(23.0, 17.5)	(24.0, 43.5)	(25.0, 71.5)	(26.0, 84.0)	(27.0, 120.0)	(28.0, 196.0)	(29.0, 323.0)	(30.0, 487.5)	(31.0, 715.5)	(32.0, 1048.0)	(33.0, 1461.5)	(34.0, 1983.5)	(35.0, 2479.5)	(36.0, 3065.5)	(37.0, 3848.5)	(38.0, 4923.5)	(39.0, 6413.5)	(40.0, 8094.5)	(41.0, 10061.0)	(42.0, 12580.5)	(43.0, 15355.5)	(44.0, 18783.5)	(45.0, 23298.5)	(46.0, 28391.0)	(47.0, 34345.5)	(48.0, 42305.0)	(49.0, 52577.0)	(50.0, 65201.5)	(51.0, 80510.5)	(52.0, 99791.5)	(53.0, 122569.0)	(54.0, 148902.5)	(55.0, 179577.0)	(56.0, 214371.5)	(57.0, 251028.0)	(58.0, 284961.0)	(59.0, 318247.0)	(60.0, 347859.0)	(61.0, 368078.0)	(62.0, 376307.5)	(63.0, 368790.5)	(64.0, 347737.0)	(65.0, 316606.0)	(66.0, 277223.5)	(67.0, 232565.0)	(68.0, 186134.5)	(69.0, 142231.5)	(70.0, 103743.5)	(71.0, 71726.0)	(72.0, 47059.5)	(73.0, 29077.0)	(74.0, 16817.0)	(75.0, 9201.5)	(76.0, 4933.0)	(77.0, 2565.0)	(78.0, 1270.5)	(79.0, 651.5)	(80.0, 310.0)	(81.0, 141.5)	(82.0, 79.0)	(83.0, 52.0)	(84.0, 26.0)	(85.0, 17.5)	(86.0, 12.5)	(87.0, 12.0)	(88.0, 16.0)	(89.0, 14.5)	(90.0, 8.0)	(91.0, 5.0)	(92.0, 3.0)	(93.0, 6.0)	(94.0, 4.0)	(95.0, 2.0)	(96.0, 3.0)	(97.0, 7.0)	(98.0, 46.5)	(99.0, 46.0)	(100.0, 6.5)
SRR39146895_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 7.0)	(20.0, 11.0)	(21.0, 9.0)	(22.0, 8.0)	(23.0, 18.0)	(24.0, 35.0)	(25.0, 62.0)	(26.0, 97.0)	(27.0, 139.5)	(28.0, 218.0)	(29.0, 344.0)	(30.0, 518.0)	(31.0, 773.5)	(32.0, 1111.5)	(33.0, 1512.5)	(34.0, 1975.0)	(35.0, 2453.5)	(36.0, 3069.0)	(37.0, 3849.0)	(38.0, 4882.5)	(39.0, 6389.0)	(40.0, 8126.5)	(41.0, 10032.0)	(42.0, 12321.0)	(43.0, 15321.5)	(44.0, 19014.0)	(45.0, 23373.0)	(46.0, 28327.0)	(47.0, 34586.0)	(48.0, 42697.5)	(49.0, 53003.0)	(50.0, 66033.0)	(51.0, 81350.5)	(52.0, 100786.0)	(53.0, 124157.5)	(54.0, 150359.5)	(55.0, 180725.5)	(56.0, 215525.5)	(57.0, 252164.0)	(58.0, 286759.0)	(59.0, 319528.0)	(60.0, 348275.5)	(61.0, 368757.5)	(62.0, 376256.0)	(63.0, 367236.5)	(64.0, 345218.5)	(65.0, 314573.5)	(66.0, 275620.5)	(67.0, 229746.0)	(68.0, 182625.0)	(69.0, 138928.5)	(70.0, 100776.0)	(71.0, 69641.5)	(72.0, 45508.0)	(73.0, 27928.5)	(74.0, 16201.0)	(75.0, 8891.5)	(76.0, 4863.0)	(77.0, 2623.5)	(78.0, 1397.0)	(79.0, 799.0)	(80.0, 495.0)	(81.0, 324.5)	(82.0, 259.5)	(83.0, 237.5)	(84.0, 207.5)	(85.0, 187.5)	(86.0, 197.5)	(87.0, 202.5)	(88.0, 194.5)	(89.0, 184.5)	(90.0, 178.0)	(91.0, 192.0)	(92.0, 194.5)	(93.0, 192.0)	(94.0, 207.5)	(95.0, 231.0)	(96.0, 274.5)	(97.0, 379.5)	(98.0, 576.0)	(99.0, 987.5)	(100.0, 3424.5)
