Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR39139285_1	(17.0, 8.0)	(18.0, 120.0)	(19.0, 684.0)	(20.0, 2081.0)	(21.0, 3826.0)	(22.0, 4945.0)	(23.0, 5499.0)	(24.0, 6276.0)	(25.0, 6978.0)	(26.0, 8166.0)	(27.0, 9448.0)	(28.0, 11544.0)	(29.0, 13819.0)	(30.0, 17590.0)	(31.0, 21837.0)	(32.0, 28832.0)	(33.0, 38216.0)	(34.0, 56403.0)	(35.0, 87229.0)	(36.0, 159506.0)	(37.0, 303485.0)	(38.0, 871241.0)	(39.0, 3331268.0)	(40.0, 350467.0)										
SRR39139285_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 7.0)	(15.0, 28.0)	(16.0, 396.0)	(17.0, 1953.0)	(18.0, 4867.0)	(19.0, 6944.0)	(20.0, 8755.0)	(21.0, 9171.0)	(22.0, 9000.0)	(23.0, 8680.0)	(24.0, 9255.0)	(25.0, 10017.0)	(26.0, 11024.0)	(27.0, 12332.0)	(28.0, 14780.0)	(29.0, 17038.0)	(30.0, 21616.0)	(31.0, 25541.0)	(32.0, 34020.0)	(33.0, 44037.0)	(34.0, 65815.0)	(35.0, 102529.0)	(36.0, 191593.0)	(37.0, 382963.0)	(38.0, 1064969.0)	(39.0, 3063583.0)	(40.0, 218552.0)				
SRR39146138_1	(16.0, 1.0)	(17.0, 12.0)	(18.0, 146.0)	(19.0, 761.0)	(20.0, 2287.0)	(21.0, 4117.0)	(22.0, 5258.0)	(23.0, 5984.0)	(24.0, 6840.0)	(25.0, 7494.0)	(26.0, 9053.0)	(27.0, 10122.0)	(28.0, 12541.0)	(29.0, 14847.0)	(30.0, 18817.0)	(31.0, 23038.0)	(32.0, 30661.0)	(33.0, 40479.0)	(34.0, 59478.0)	(35.0, 91636.0)	(36.0, 167993.0)	(37.0, 321841.0)	(38.0, 917345.0)	(39.0, 3463028.0)	(40.0, 360011.0)									
SRR39146138_2	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 2.0)	(14.0, 3.0)	(15.0, 28.0)	(16.0, 377.0)	(17.0, 1920.0)	(18.0, 5177.0)	(19.0, 7599.0)	(20.0, 9616.0)	(21.0, 10128.0)	(22.0, 9780.0)	(23.0, 9324.0)	(24.0, 9999.0)	(25.0, 10836.0)	(26.0, 12355.0)	(27.0, 13734.0)	(28.0, 16171.0)	(29.0, 18732.0)	(30.0, 23217.0)	(31.0, 27841.0)	(32.0, 37273.0)	(33.0, 48761.0)	(34.0, 72071.0)	(35.0, 113046.0)	(36.0, 212769.0)	(37.0, 417625.0)	(38.0, 1141164.0)	(39.0, 3128137.0)	(40.0, 216102.0)		
SRR39146893_1	(17.0, 18.0)	(18.0, 194.0)	(19.0, 851.0)	(20.0, 2191.0)	(21.0, 3629.0)	(22.0, 4734.0)	(23.0, 5129.0)	(24.0, 5989.0)	(25.0, 6647.0)	(26.0, 7777.0)	(27.0, 8886.0)	(28.0, 11015.0)	(29.0, 13071.0)	(30.0, 16542.0)	(31.0, 20270.0)	(32.0, 27345.0)	(33.0, 36506.0)	(34.0, 53451.0)	(35.0, 82601.0)	(36.0, 153761.0)	(37.0, 295806.0)	(38.0, 835883.0)	(39.0, 2978825.0)	(40.0, 292511.0)										
SRR39146893_2	(10.0, 2.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 3.0)	(14.0, 3.0)	(15.0, 28.0)	(16.0, 373.0)	(17.0, 2125.0)	(18.0, 5293.0)	(19.0, 7821.0)	(20.0, 9613.0)	(21.0, 9902.0)	(22.0, 9433.0)	(23.0, 9029.0)	(24.0, 9638.0)	(25.0, 10231.0)	(26.0, 11541.0)	(27.0, 12819.0)	(28.0, 15096.0)	(29.0, 17468.0)	(30.0, 21586.0)	(31.0, 26392.0)	(32.0, 34542.0)	(33.0, 46170.0)	(34.0, 68612.0)	(35.0, 107448.0)	(36.0, 200808.0)	(37.0, 396039.0)	(38.0, 1059146.0)	(39.0, 2618323.0)	(40.0, 154147.0)			
SRR39146894_1	(17.0, 12.0)	(18.0, 210.0)	(19.0, 823.0)	(20.0, 2076.0)	(21.0, 3693.0)	(22.0, 4769.0)	(23.0, 5205.0)	(24.0, 6040.0)	(25.0, 6654.0)	(26.0, 7845.0)	(27.0, 9265.0)	(28.0, 11210.0)	(29.0, 12920.0)	(30.0, 16492.0)	(31.0, 20514.0)	(32.0, 27347.0)	(33.0, 36267.0)	(34.0, 53657.0)	(35.0, 82114.0)	(36.0, 150124.0)	(37.0, 282964.0)	(38.0, 800784.0)	(39.0, 3116814.0)	(40.0, 351470.0)										
SRR39146894_2	(10.0, 1.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 3.0)	(14.0, 5.0)	(15.0, 36.0)	(16.0, 443.0)	(17.0, 2122.0)	(18.0, 5217.0)	(19.0, 7454.0)	(20.0, 9165.0)	(21.0, 9383.0)	(22.0, 8870.0)	(23.0, 8455.0)	(24.0, 9128.0)	(25.0, 9717.0)	(26.0, 11160.0)	(27.0, 12191.0)	(28.0, 14381.0)	(29.0, 16396.0)	(30.0, 20679.0)	(31.0, 25082.0)	(32.0, 32892.0)	(33.0, 43446.0)	(34.0, 64196.0)	(35.0, 100016.0)	(36.0, 184811.0)	(37.0, 365605.0)	(38.0, 992356.0)	(39.0, 2841498.0)	(40.0, 214558.0)			
SRR39146895_1	(17.0, 20.0)	(18.0, 146.0)	(19.0, 784.0)	(20.0, 2192.0)	(21.0, 3695.0)	(22.0, 5001.0)	(23.0, 5494.0)	(24.0, 6550.0)	(25.0, 7238.0)	(26.0, 8381.0)	(27.0, 9466.0)	(28.0, 11609.0)	(29.0, 13844.0)	(30.0, 17640.0)	(31.0, 21890.0)	(32.0, 28796.0)	(33.0, 38145.0)	(34.0, 56186.0)	(35.0, 86953.0)	(36.0, 160533.0)	(37.0, 309230.0)	(38.0, 883219.0)	(39.0, 3279127.0)	(40.0, 333512.0)										
SRR39146895_2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 6.0)	(15.0, 24.0)	(16.0, 328.0)	(17.0, 1856.0)	(18.0, 4873.0)	(19.0, 7059.0)	(20.0, 9181.0)	(21.0, 9652.0)	(22.0, 9625.0)	(23.0, 9129.0)	(24.0, 10092.0)	(25.0, 10787.0)	(26.0, 12270.0)	(27.0, 13671.0)	(28.0, 16420.0)	(29.0, 18632.0)	(30.0, 23171.0)	(31.0, 27863.0)	(32.0, 36851.0)	(33.0, 48252.0)	(34.0, 71776.0)	(35.0, 111573.0)	(36.0, 208173.0)	(37.0, 412271.0)	(38.0, 1118020.0)	(39.0, 2915415.0)	(40.0, 182678.0)				
SRR39146896_1	(17.0, 1.0)	(18.0, 132.0)	(19.0, 619.0)	(20.0, 2023.0)	(21.0, 3460.0)	(22.0, 4567.0)	(23.0, 5003.0)	(24.0, 5701.0)	(25.0, 6596.0)	(26.0, 7599.0)	(27.0, 8639.0)	(28.0, 10690.0)	(29.0, 12738.0)	(30.0, 16176.0)	(31.0, 19995.0)	(32.0, 26673.0)	(33.0, 35237.0)	(34.0, 52650.0)	(35.0, 81620.0)	(36.0, 150768.0)	(37.0, 291355.0)	(38.0, 811106.0)	(39.0, 2688235.0)	(40.0, 241808.0)										
SRR39146896_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 4.0)	(15.0, 26.0)	(16.0, 368.0)	(17.0, 2004.0)	(18.0, 4907.0)	(19.0, 6925.0)	(20.0, 8895.0)	(21.0, 9357.0)	(22.0, 9075.0)	(23.0, 8732.0)	(24.0, 9476.0)	(25.0, 9853.0)	(26.0, 11388.0)	(27.0, 12624.0)	(28.0, 15006.0)	(29.0, 17282.0)	(30.0, 21470.0)	(31.0, 26029.0)	(32.0, 34223.0)	(33.0, 45238.0)	(34.0, 67335.0)	(35.0, 104817.0)	(36.0, 195069.0)	(37.0, 380852.0)	(38.0, 994317.0)	(39.0, 2352555.0)	(40.0, 135560.0)				
SRR39146897_1	(17.0, 13.0)	(18.0, 168.0)	(19.0, 797.0)	(20.0, 2352.0)	(21.0, 4061.0)	(22.0, 5402.0)	(23.0, 5925.0)	(24.0, 6558.0)	(25.0, 7571.0)	(26.0, 8721.0)	(27.0, 10002.0)	(28.0, 12061.0)	(29.0, 14465.0)	(30.0, 17792.0)	(31.0, 22251.0)	(32.0, 29453.0)	(33.0, 38719.0)	(34.0, 56646.0)	(35.0, 87743.0)	(36.0, 159217.0)	(37.0, 301621.0)	(38.0, 852309.0)	(39.0, 3205825.0)	(40.0, 342582.0)										
