Sample	Unique Reads	Duplicate Reads
SRR39139285_1	4164167.0	1175301.0
SRR39139285_2	4132830.0	1206638.0
SRR39146138_1	4274566.0	1299224.0
SRR39146138_2	4282285.0	1291505.0
SRR39146893_1	3797559.0	1066073.0
SRR39146893_2	3796099.0	1067533.0
SRR39146894_1	3915262.0	1094007.0
SRR39146894_2	3895585.0	1113684.0
SRR39146895_1	4032327.0	1257324.0
SRR39146895_2	4024924.0	1264727.0
SRR39146896_1	3543142.0	940249.0
SRR39146896_2	3526070.0	957321.0
SRR39146897_1	3965040.0	1227214.0
SRR39146897_2	3946752.0	1245502.0
SRR39146898_1	4187276.0	1303437.0
SRR39146898_2	4178602.0	1312111.0
SRR39146899_1	3559404.0	962956.0
SRR39146899_2	3541427.0	980933.0
SRR39146900_1	4092870.0	1203177.0
SRR39146900_2	4075633.0	1220414.0
