Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR39139285_1	(1.0, 61.76158044910023)	(2.0, 24.507252168028103)	(3.0, 8.781504831857651)	(4.0, 2.979150826357067)	(5.0, 0.9270639511116976)	(6.0, 0.3029207168491233)	(7.0, 0.12607231251461296)	(8.0, 0.059963238617149466)	(9.0, 0.057356137621123716)	('>10', 0.49332527145401356)	('>50', 0.0038100964892801947)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39139285_2	(1.0, 60.84576279684948)	(2.0, 24.94829582972853)	(3.0, 9.174735875357738)	(4.0, 2.938633717698418)	(5.0, 0.8808014489576885)	(6.0, 0.27619758943590417)	(7.0, 0.13324060635168586)	(8.0, 0.06840356469794628)	(9.0, 0.06265302909928369)	('>10', 0.4841163226268213)	('>50', 0.001672886807676953)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.18548633238880755)	('>10k+', 0.0)
SRR39146138_1	(1.0, 59.565007764050534)	(2.0, 25.283725488498977)	(3.0, 9.9064427927141)	(4.0, 3.3870476019553704)	(5.0, 1.1514154067077074)	(6.0, 0.40067067993604505)	(7.0, 0.13739717792499123)	(8.0, 0.07260611179133358)	(9.0, 0.03343797040824669)	('>10', 0.06020662744305921)	('>50', 0.0020423785696289764)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146138_2	(1.0, 59.77029865566335)	(2.0, 25.50526198630948)	(3.0, 9.531979444526705)	(4.0, 3.278269675505986)	(5.0, 1.0203532428535014)	(6.0, 0.411523788980732)	(7.0, 0.1361249913403272)	(8.0, 0.06609572698515943)	(9.0, 0.028000945426584878)	('>10', 0.07595145494018885)	('>50', 0.0038430067993546237)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.17229708066863855)	('>10k+', 0.0)
SRR39146893_1	(1.0, 61.56801487996204)	(2.0, 24.929461258658687)	(3.0, 9.14605011204719)	(4.0, 2.950511776423777)	(5.0, 0.9720242286568676)	(6.0, 0.29835605817692196)	(7.0, 0.07787588036461307)	(8.0, 0.030223763198686193)	(9.0, 0.016382149537951907)	('>10', 0.009078069104834345)	('>50', 0.0020218238684391156)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146893_2	(1.0, 61.639372376402925)	(2.0, 24.83169334159824)	(3.0, 9.068133213894097)	(4.0, 2.943310965514231)	(5.0, 0.8327482604155296)	(6.0, 0.29982960377552176)	(7.0, 0.08835577075027194)	(8.0, 0.03446773410047492)	(9.0, 0.011987817707890302)	('>10', 0.04103975668784936)	('>50', 0.0018238779415610936)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.20723728121147278)	('>10k+', 0.0)
SRR39146894_1	(1.0, 61.822010459762645)	(2.0, 24.592263419019755)	(3.0, 9.014324852128295)	(4.0, 3.0345994070428604)	(5.0, 0.9918039209425689)	(6.0, 0.3074319765027856)	(7.0, 0.12035318806834859)	(8.0, 0.05386936311348306)	(9.0, 0.01634690343084331)	('>10', 0.03944571631669337)	('>50', 0.0019931278026106844)	('>100', 0.005557665869098501)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146894_2	(1.0, 61.217514920194205)	(2.0, 25.052926380705003)	(3.0, 8.996045768884219)	(4.0, 3.0353011559958762)	(5.0, 0.9606106338940046)	(6.0, 0.26160129126284415)	(7.0, 0.10946929744207803)	(8.0, 0.046229354551427154)	(9.0, 0.03262455555948705)	('>10', 0.0768209108513404)	('>50', 0.0)	('>100', 0.0025798270027264526)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.20827590365683427)	('>10k+', 0.0)
SRR39146895_1	(1.0, 58.88781015876792)	(2.0, 25.62874996913182)	(3.0, 9.951002042542815)	(4.0, 3.4912697600726488)	(5.0, 1.153008841085695)	(6.0, 0.38678572327238636)	(7.0, 0.13668857866761716)	(8.0, 0.04819874318364762)	(9.0, 0.02923141833531332)	('>10', 0.2583524957224927)	('>50', 0.028902269217654774)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146895_2	(1.0, 58.73077797660965)	(2.0, 25.64920199703775)	(3.0, 10.114363963584037)	(4.0, 3.365556193157998)	(5.0, 1.0744601586732037)	(6.0, 0.3672976167116041)	(7.0, 0.1385742496534827)	(8.0, 0.05881070646587858)	(9.0, 0.030263310414016413)	('>10', 0.2802577802102996)	('>50', 0.012335329081683074)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1781007184004012)	('>10k+', 0.0)
