Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR39139285_1	22.011590566889694	58.0	150.0	150	0.0	5.339468
SRR39139285_2	22.598474452663567	58.0	150.0	150	0.0	5.339468
SRR39146138_1	23.309538904578872	59.0	150.0	150	0.0	5.57379
SRR39146138_2	23.171046919190402	59.0	150.0	150	0.0	5.57379
SRR39146893_1	21.919279544717114	60.0	150.0	150	0.0	4.863632
SRR39146893_2	21.949316397784386	60.0	150.0	150	0.0	4.863632
SRR39146894_1	21.8396639864454	59.0	150.0	150	0.0	5.009269
SRR39146894_2	22.23247339624686	59.0	150.0	150	0.0	5.009269
SRR39146895_1	23.769511263532664	60.0	150.0	150	0.0	5.289651
SRR39146895_2	23.909471931724084	60.0	150.0	150	0.0	5.289651
SRR39146896_1	20.971847481096802	59.0	150.0	150	0.0	4.483391
SRR39146896_2	21.352631291364602	59.0	150.0	150	0.0	4.483391
SRR39146897_1	23.635494961258544	59.0	150.0	150	0.0	5.192254
SRR39146897_2	23.987705978730034	60.0	150.0	150	0.0	5.192254
SRR39146898_1	23.738939755389737	59.0	150.0	150	0.0	5.4907129999999995
SRR39146898_2	23.89693059903189	59.0	150.0	150	0.0	5.4907129999999995
SRR39146899_1	21.29322268372104	59.0	150.0	150	0.0	4.52236
SRR39146899_2	21.69073418844762	59.0	150.0	150	0.0	4.52236
SRR39146900_1	22.71840608908549	59.0	150.0	150	0.0	5.296047
SRR39146900_2	23.043874168810945	59.0	150.0	150	0.0	5.296047
