Module	Section	Sample Name	Source
FastQC	all_sections	SRR39139285_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39139285_1_fastqc.zip
FastQC	all_sections	SRR39139285_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39139285_2_fastqc.zip
FastQC	all_sections	SRR39146138_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146138_1_fastqc.zip
FastQC	all_sections	SRR39146138_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146138_2_fastqc.zip
FastQC	all_sections	SRR39146893_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146893_1_fastqc.zip
FastQC	all_sections	SRR39146893_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146893_2_fastqc.zip
FastQC	all_sections	SRR39146894_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146894_1_fastqc.zip
FastQC	all_sections	SRR39146894_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146894_2_fastqc.zip
FastQC	all_sections	SRR39146895_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146895_1_fastqc.zip
FastQC	all_sections	SRR39146895_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146895_2_fastqc.zip
FastQC	all_sections	SRR39146896_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146896_1_fastqc.zip
FastQC	all_sections	SRR39146896_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146896_2_fastqc.zip
FastQC	all_sections	SRR39146897_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146897_1_fastqc.zip
FastQC	all_sections	SRR39146897_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146897_2_fastqc.zip
FastQC	all_sections	SRR39146898_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146898_1_fastqc.zip
FastQC	all_sections	SRR39146898_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146898_2_fastqc.zip
FastQC	all_sections	SRR39146899_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146899_1_fastqc.zip
FastQC	all_sections	SRR39146899_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146899_2_fastqc.zip
FastQC	all_sections	SRR39146900_1	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146900_1_fastqc.zip
FastQC	all_sections	SRR39146900_2	/home/king/git/bioinformatics/Capistone_Bactiral_Genomics/fastqc_results/SRR39146900_2_fastqc.zip
