Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR39139285	(1, 85.58499640921485)	(2, 12.196115780378603)	(3, 1.8761501733675954)	(4, 0.2868770829359157)	(5, 0.04632253105468093)	(6, 0.00792497503282202)	(7, 0.001332517925872729)	(8, 0.00017533130603588541)	(9, 0.00010519878362153123)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146138	(1, 86.28266296136566)	(2, 11.656275258547565)	(3, 1.744928297855933)	(4, 0.26811546601395486)	(5, 0.03937834341057153)	(6, 0.007140225459759117)	(7, 0.0011424360735614587)	(8, 0.00017850563649397794)	(9, 0.00014280450919518234)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 3.5701127298795585e-05)
SRR39146893	(1, 85.35954921396302)	(2, 12.333826491082975)	(3, 1.9388344506253021)	(4, 0.3068610423457153)	(5, 0.0507146168552266)	(6, 0.008788949993645826)	(7, 0.0011481060802510314)	(8, 0.00011876959450872739)	(9, 3.958986483624246e-05)	(10, 0.00011876959450872739)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146894	(1, 85.24619222963189)	(2, 12.375448226962737)	(3, 1.9911962094432172)	(4, 0.32233245411829814)	(5, 0.052836407928953256)	(6, 0.009679083349053937)	(7, 0.001821945100998388)	(8, 0.0003416147064371977)	(9, 7.591437920826617e-05)	(10, 0.0)	(11, 0.0)	(12, 3.795718960413308e-05)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 3.795718960413308e-05)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146895	(1, 85.72316909221034)	(2, 12.061681598371475)	(3, 1.8648226736068192)	(4, 0.2929116748077648)	(5, 0.04825908682362887)	(6, 0.007515446722731136)	(7, 0.00125893269974684)	(8, 0.00026704633024932973)	(9, 0.0)	(10, 0.0)	(11, 3.8149475749904245e-05)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 3.8149475749904245e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 3.8149475749904245e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146896	(1, 86.35067650605822)	(2, 11.587952355190104)	(3, 1.7422257833325259)	(4, 0.2692724799420736)	(5, 0.041991729722673975)	(6, 0.006280288023039216)	(7, 0.0014777148289504037)	(8, 8.209526827502243e-05)	(9, 4.1047634137511214e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146897	(1, 84.48519562104485)	(2, 12.916262490954164)	(3, 2.159876514696599)	(4, 0.3603707638536037)	(5, 0.06405222720064052)	(6, 0.011740342125117403)	(7, 0.0020016321000200163)	(8, 0.0003464363250034644)	(9, 0.00011547877500115477)	(10, 3.849292500038493e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146898	(1, 85.35291751730067)	(2, 12.369355686494304)	(3, 1.9243446367224142)	(4, 0.29620939099930016)	(5, 0.04617381683224384)	(6, 0.00929284363919373)	(7, 0.0013431063072272189)	(8, 0.00010890051139680152)	(9, 0.0002541011932592035)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146899	(1, 85.906537676524)	(2, 11.97540285878205)	(3, 1.7986306394932678)	(4, 0.2687040761344833)	(5, 0.043329986303071444)	(6, 0.005899192766094099)	(7, 0.0011216774977784554)	(8, 0.00024926166617299006)	(9, 4.1543611028831683e-05)	(10, 0.0)	(11, 0.0)	(12, 4.1543611028831683e-05)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 4.1543611028831683e-05)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
SRR39146900	(1, 86.36893619994201)	(2, 11.637884381693388)	(3, 1.6997155858724695)	(4, 0.2500614474966887)	(5, 0.03717618798191941)	(6, 0.004742045399835875)	(7, 0.0011583622350744122)	(8, 0.0003257893786146784)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)
