Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39139285_1	(1, 0.0)	(2, 0.23053007013254656)	(3, 0.0)	(4, 0.012541640957592998)	(5, 0.0)	(6, 0.0005612771416206742)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005032139890392252)	(15, 0.0015909303807317041)	(20, 0.00029031576290724527)	(25, 1.161263051628981e-05)	(30, 0.0010257823622722667)	(35, 0.002362011208401449)	(40, 0.000135698114653043)	(45, 1.5527888223117743e-05)	(50, 0.0005946402624625522)	(55, 0.0)	(60, 1.557986585891294e-05)	(65, 0.0)	(70, 0.00038252149975750863)	(75, 0.00027353598363910944)	(80, 0.0014435120295603098)	(85, 0.00022323880736429576)	(90, 0.00045876268488626335)	(95, 0.00014917754298541085)	(100, 0.0)	(105, 3.148805213413815e-05)	(110, 0.0)	(115, 0.014414525672680825)	(120, 0.00034010533141208094)	(125, 0.00014659869241890616)	(130, 0.00014295515790548773)	(135, 1.5926478913919253e-05)	(140, 0.00027563445358765205)	(145, 4.00864086590491e-05)	(150, 0.0)
SRR39139285_2	(1, 0.009270750028838032)	(2, 0.11866172949228804)	(3, 0.005070848658779884)	(4, 0.0005419227574268578)	(5, 0.00019354384193816352)	(6, 0.0007741753677526541)	(7, 0.0011419086674351647)	(8, 0.0004257964522639598)	(9, 0.00013548068935671445)	(10, 0.0037005582578576867)	(15, 0.0010219114854335034)	(20, 7.354665993650214e-05)	(25, 0.001172875682145271)	(30, 8.515929045279195e-05)	(35, 0.00922135155347435)	(40, 0.0005043995670234116)	(45, 0.0015700365519276962)	(50, 0.0028877810240017024)	(55, 0.0013133354050517349)	(60, 0.0005346168299719463)	(65, 0.0003086863076600625)	(70, 0.0030714033993353798)	(75, 0.000948121717985583)	(80, 0.0004119327098110602)	(85, 0.0010450567167209547)	(90, 7.082453649964129e-05)	(95, 0.00014187215041411495)	(100, 0.00023686200478816543)	(105, 0.00010283194428470337)	(110, 0.0005350383963369449)	(115, 0.0015172737244414844)	(120, 0.00013139798175089084)	(125, 1.9971498275381238e-05)	(130, 0.0001322717920783626)	(135, 8.049686529107183e-06)	(140, 0.0016825687615497124)	(145, 0.00017473111725514482)	(150, 0.000426990431144438)
SRR39146138_1	(1, 0.0)	(2, 0.22857594606075327)	(3, 0.0)	(4, 0.012953317394690737)	(5, 0.0)	(6, 0.0008722147815909234)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00045280937597486234)	(15, 0.0015588519500773952)	(20, 0.0002969241809671229)	(25, 7.423104524178073e-06)	(30, 0.0011097541263646218)	(35, 0.0024541494525037615)	(40, 7.806826110309115e-05)	(45, 5.583640231914636e-05)	(50, 0.0005776682618137167)	(55, 0.0)	(60, 1.4941917405114903e-05)	(65, 3.739659281138759e-06)	(70, 0.0003968621978011363)	(75, 0.0002961203067086693)	(80, 0.0013172305464187542)	(85, 0.00025174406976451896)	(90, 0.000346094072582247)	(95, 0.00012429842016707966)	(100, 1.1314965724328661e-05)	(105, 2.6440409285448694e-05)	(110, 0.0)	(115, 0.014724030174370037)	(120, 0.00042147585809067337)	(125, 0.0001255699353002811)	(130, 0.00014114888708871074)	(135, 3.826583374191677e-06)	(140, 0.00019972673541696203)	(145, 5.399133238575974e-05)	(150, 0.0)
SRR39146138_2	(1, 0.008981956474255468)	(2, 0.12071823732444589)	(3, 0.005493097347891773)	(4, 0.0006680794071760265)	(5, 9.278880655222589e-05)	(6, 0.0007608682137282524)	(7, 0.001336158814352053)	(8, 0.00046394403276112957)	(9, 0.00020413537441489696)	(10, 0.0035519555148192075)	(15, 0.001028099976598663)	(20, 9.278880655222589e-05)	(25, 0.001247081560061916)	(30, 9.650035881431494e-05)	(35, 0.008608277367461031)	(40, 0.0004502385557359239)	(45, 0.0014983959894574051)	(50, 0.0027475548814754848)	(55, 0.0012224710364087017)	(60, 0.0004904208454765528)	(65, 0.0003486472710815758)	(70, 0.002687953960604431)	(75, 0.0011804560094045501)	(80, 0.0004405040375207032)	(85, 0.0009162889017429097)	(90, 5.287464727889314e-05)	(95, 0.00014754430660947798)	(100, 0.00031459466032039533)	(105, 0.00017471382066082085)	(110, 0.0006319150925382552)	(115, 0.0015187407456505725)	(120, 0.0001454119766202032)	(125, 3.072188597971403e-05)	(130, 0.00018891751996019624)	(135, 1.1620887600296007e-05)	(140, 0.0017450874425143656)	(145, 0.0001644930090471155)	(150, 0.0008430137781779806)
SRR39146893_1	(1, 2.1337685083080413e-05)	(2, 0.23492791276471534)	(3, 0.0)	(4, 0.012674584939349764)	(5, 0.0)	(6, 0.0005547798121600907)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003542055723791348)	(15, 0.001408287215483307)	(20, 0.00023044699889726846)	(25, 1.2802611049848248e-05)	(30, 0.0009986036618881632)	(35, 0.0022796326307980845)	(40, 8.121261201089224e-05)	(45, 2.99578330660524e-05)	(50, 0.0005184342360601604)	(55, 0.0)	(60, 2.1470347817917022e-05)	(65, 4.298638634040515e-06)	(70, 0.00034425612104596023)	(75, 0.00024554427602691784)	(80, 0.0011384672427397163)	(85, 0.00013815179151789445)	(90, 0.0003889990884886914)	(95, 0.00012981925308665828)	(100, 0.0)	(105, 2.1692190420989017e-05)	(110, 0.0)	(115, 0.0141390838482922)	(120, 0.00031822110045651647)	(125, 0.00014849054988671045)	(130, 0.00012255812778803326)	(135, 1.755505407593026e-05)	(140, 0.0002553964161894203)	(145, 5.302893545958742e-05)	(150, 0.0)
SRR39146893_2	(1, 0.006806721541502651)	(2, 0.11765599554810538)	(3, 0.005398434326019344)	(4, 0.0005974551823262515)	(5, 0.0001707014806646433)	(6, 0.0007681566629908948)	(7, 0.0011308973094032618)	(8, 0.00029872759116312576)	(9, 0.0001707014806646433)	(10, 0.003217722910528526)	(15, 0.0009687309027718507)	(20, 6.828059226585732e-05)	(25, 0.0011778402165860387)	(30, 0.00010668842541540206)	(35, 0.0086171826023268)	(40, 0.0004279284965716509)	(45, 0.0014489960258068765)	(50, 0.0023659875251912186)	(55, 0.0010622235504078187)	(60, 0.0005082047503534607)	(65, 0.0003493591566970274)	(70, 0.0026563629156705847)	(75, 0.0010078820703576087)	(80, 0.00035523701673686206)	(85, 0.0010673476402462258)	(90, 5.649506363517052e-05)	(95, 0.00013930227928565965)	(100, 0.00031402465512242255)	(105, 0.0001966766712447168)	(110, 0.0005826332279584922)	(115, 0.00150622712939018)	(120, 0.00011449174910806524)	(125, 3.0934014565148186e-05)	(130, 0.00013752671511895506)	(135, 8.913555271351798e-06)	(140, 0.0017789759103360291)	(145, 0.00019367148254078608)	(150, 0.0005408977279590938)
SRR39146894_1	(1, 0.0)	(2, 0.23393768440754387)	(3, 0.0)	(4, 0.012586628660146145)	(5, 0.0)	(6, 0.0007233694632267899)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004422887575158087)	(15, 0.0015831457395192032)	(20, 0.00030174840466031807)	(25, 4.133539789867371e-06)	(30, 0.0010003166291479037)	(35, 0.00241064946369872)	(40, 9.936291397643302e-05)	(45, 3.7308829557348144e-05)	(50, 0.0005893373354042039)	(55, 0.0)	(60, 1.6637383485283944e-05)	(65, 0.0)	(70, 0.00042518623156942746)	(75, 0.0002712508788528475)	(80, 0.0014037121166925936)	(85, 0.0002342138799327639)	(90, 0.0003433505291931903)	(95, 0.00011318845937175709)	(100, 0.0)	(105, 4.203023343969925e-06)	(110, 0.0)	(115, 0.014237438053758659)	(120, 0.00036320724157530245)	(125, 0.00016925864417648075)	(130, 0.00015267670897719965)	(135, 8.505567531867172e-06)	(140, 0.0002176336328114365)	(145, 4.7114457893766154e-05)	(150, 0.0)
SRR39146894_2	(1, 0.008473756569228112)	(2, 0.12295214104960496)	(3, 0.0052289278341822246)	(4, 0.0006406986674294425)	(5, 0.00012400619369602113)	(6, 0.0007853725600748004)	(7, 0.000992049549568169)	(8, 0.00043402167793607396)	(9, 0.0001860092905440317)	(10, 0.003525909440756868)	(15, 0.0011036551238945882)	(20, 7.02701764277453e-05)	(25, 0.001235928397170344)	(30, 0.00011573911411628639)	(35, 0.009040982160024639)	(40, 0.00032321800486724876)	(45, 0.0016727695776094936)	(50, 0.0027228982146143476)	(55, 0.0011281648093091332)	(60, 0.00040019362701653816)	(65, 0.00035899361233482016)	(70, 0.0028758938522627413)	(75, 0.001125996590699988)	(80, 0.0004275651772810979)	(85, 0.0009403464765364454)	(90, 6.726991806566023e-05)	(95, 0.0001515973688423781)	(100, 0.00034169095344093755)	(105, 0.00015638670628463226)	(110, 0.0006141721190678968)	(115, 0.0014221759427774138)	(120, 0.00020004429917161229)	(125, 3.416304260840296e-05)	(130, 0.00012429340272048257)	(135, 0.0)	(140, 0.0015879946565494245)	(145, 0.00017829084568261977)	(150, 0.0007181773963457828)
SRR39146895_1	(1, 0.0)	(2, 0.23158550125755836)	(3, 0.0)	(4, 0.011732778920420081)	(5, 0.0)	(6, 0.0005670843144869706)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004223800411351229)	(15, 0.001669965533006458)	(20, 0.00033242873607856893)	(25, 1.5643705227226774e-05)	(30, 0.0010285736186901604)	(35, 0.002484276485967046)	(40, 5.0924343426564316e-05)	(45, 3.9222869443149e-05)	(50, 0.0005733362890258918)	(55, 3.931546893466598e-06)	(60, 2.3616755789086784e-05)	(65, 3.9405004916365436e-06)	(70, 0.00031560015511747624)	(75, 0.0002962268636451553)	(80, 0.0013247384827829473)	(85, 0.00020984664605075144)	(90, 0.00032903618680518113)	(95, 9.526495088139133e-05)	(100, 0.0)	(105, 2.3883585671377147e-05)	(110, 0.0)	(115, 0.014525531327121954)	(120, 0.00033209721149574903)	(125, 0.00011627239366208003)	(130, 8.038245974345937e-05)	(135, 4.030684147367617e-06)	(140, 0.0002265116243136445)	(145, 3.654024162600178e-05)	(150, 0.0)
SRR39146895_2	(1, 0.007880516508215488)	(2, 0.12174713593089237)	(3, 0.005142868093450802)	(4, 0.0005279750514189036)	(5, 0.00013688242073823427)	(6, 0.00041064726221470285)	(7, 0.0012319417866441084)	(8, 0.0004888657883508368)	(9, 0.00011732778920420081)	(10, 0.0036058740548757713)	(15, 0.000891691197951926)	(20, 6.25748209089071e-05)	(25, 0.0010676828817582273)	(30, 9.386223136336064e-05)	(35, 0.008742080375641793)	(40, 0.0004156519465490419)	(45, 0.0014653065688475667)	(50, 0.002892200031637127)	(55, 0.0011862447161369598)	(60, 0.0005091590007648041)	(65, 0.0003043805861002352)	(70, 0.0029099258004552627)	(75, 0.0010270026760358917)	(80, 0.00040907529165777525)	(85, 0.0009627279477218038)	(90, 3.586618184090431e-05)	(95, 0.00013973160911447726)	(100, 0.00026401681259062576)	(105, 0.000152346954955215)	(110, 0.0005465508402194385)	(115, 0.0016921040262044065)	(120, 0.00015757685265529927)	(125, 3.2440854341253376e-05)	(130, 0.00015063815615639823)	(135, 4.090497679808359e-06)	(140, 0.001377904952692204)	(145, 0.0002067481436290932)	(150, 0.0006208051677477643)
