Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR39139285_1	(1, 38.869823960263126)	(2, 38.78056192744893)	(3, 39.19571540384471)	(4, 39.12351503487273)	(5, 38.99692729796539)	(6, 38.93574383156422)	(7, 38.85700051947167)	(8, 38.818277041752054)	(9, 38.774659227357496)	(10, 38.80359047052056)	(15, 39.28234895645031)	(20, 39.434278395010594)	(25, 39.33132747076133)	(30, 39.2955503496563)	(35, 39.339779746151684)	(40, 39.354637669350204)	(45, 39.314595596915254)	(50, 39.32097974559511)	(55, 39.31973399221493)	(60, 39.29300635111535)	(65, 39.29264336965608)	(70, 39.24327211928026)	(75, 39.22269410408144)	(80, 39.21890893383336)	(85, 39.17389320966414)	(90, 39.173919017644025)	(95, 39.15056396549325)	(100, 39.13097792652837)	(105, 39.072715529285716)	(110, 39.05946048469651)	(115, 38.98550485052526)	(120, 38.994876707722625)	(125, 38.9146060870677)	(130, 38.849219560453356)	(135, 38.72615719944868)	(140, 38.67967899337468)	(145, 38.479629019966566)	(150, 38.38675643374998)
SRR39139285_2	(1, 38.101603162351545)	(2, 38.76506990416483)	(3, 39.1211607675794)	(4, 39.166296739870106)	(5, 39.172319050055854)	(6, 39.16360957716864)	(7, 39.15727566139737)	(8, 39.167529227055574)	(9, 39.22730601681354)	(10, 39.27642210208741)	(15, 39.34027360905847)	(20, 39.35495390946949)	(25, 39.23564187266828)	(30, 39.20068266783928)	(35, 39.1776803754683)	(40, 39.20135451600105)	(45, 39.20275549398589)	(50, 39.179392455285054)	(55, 39.15987367931673)	(60, 39.1529507088692)	(65, 39.11770799998767)	(70, 39.07831244297986)	(75, 39.06273970764609)	(80, 39.02403601022529)	(85, 39.0048232317807)	(90, 38.96094453187144)	(95, 38.93100775873256)	(100, 38.85989428467413)	(105, 38.80485350767218)	(110, 38.763686313621754)	(115, 38.74088321315046)	(120, 38.66304069439398)	(125, 38.50336430533319)	(130, 38.47209776064077)	(135, 38.36815518735623)	(140, 38.30185160367295)	(145, 38.158230834172194)	(150, 38.035828157091)
SRR39146138_1	(1, 38.85903320373212)	(2, 38.781604656216544)	(3, 39.194625820786584)	(4, 39.123486498579126)	(5, 39.00120569775234)	(6, 38.94069069389511)	(7, 38.870550892711826)	(8, 38.826050865710286)	(9, 38.784986251482536)	(10, 38.81002646151186)	(15, 39.28753384239747)	(20, 39.43638713048946)	(25, 39.33496272952007)	(30, 39.297972583134595)	(35, 39.34263154706923)	(40, 39.356150759808465)	(45, 39.315866863552905)	(50, 39.320300984911725)	(55, 39.31884732330805)	(60, 39.28986678159996)	(65, 39.29026873874886)	(70, 39.24045094907383)	(75, 39.21698288955771)	(80, 39.211689594340314)	(85, 39.16821943689442)	(90, 39.16920553188682)	(95, 39.143628335628776)	(100, 39.12714649733476)	(105, 39.062951064639364)	(110, 39.05106601756798)	(115, 38.97493540006106)	(120, 38.984708687525725)	(125, 38.904923101679884)	(130, 38.83554508570057)	(135, 38.713389416446546)	(140, 38.66326984255673)	(145, 38.458940758016)	(150, 38.36285300462154)
SRR39146138_2	(1, 38.09241802248124)	(2, 38.84832203505895)	(3, 39.136878521451195)	(4, 39.141843836067416)	(5, 39.15087961004947)	(6, 39.15166497450813)	(7, 39.1439705555136)	(8, 39.14654971318052)	(9, 39.20615501557831)	(10, 39.24715935419733)	(15, 39.31428307378139)	(20, 39.32460994833334)	(25, 39.21765422102776)	(30, 39.18569627143027)	(35, 39.14652784630497)	(40, 39.157172558589295)	(45, 39.15859295521307)	(50, 39.13742040459269)	(55, 39.120987187790845)	(60, 39.116558690646784)	(65, 39.08231787884218)	(70, 39.048291057503754)	(75, 39.02985088084551)	(80, 38.99261444357436)	(85, 38.97164088143785)	(90, 38.925698108803076)	(95, 38.89919715090146)	(100, 38.826362703132745)	(105, 38.767358809292084)	(110, 38.72719979604228)	(115, 38.70416034459533)	(120, 38.62253419320885)	(125, 38.4637932945259)	(130, 38.43034443234981)	(135, 38.326847694734326)	(140, 38.25693426796979)	(145, 38.112304234068965)	(150, 37.98679644373657)
SRR39146893_1	(1, 38.83872252132915)	(2, 38.75377250272269)	(3, 39.176489114366575)	(4, 39.10143935488497)	(5, 38.9748565254055)	(6, 38.9119837560471)	(7, 38.839736061370594)	(8, 38.79615511984951)	(9, 38.751088221939234)	(10, 38.77405687431933)	(15, 39.265531274218276)	(20, 39.420103171974915)	(25, 39.314473351791854)	(30, 39.27637781700118)	(35, 39.32143745753409)	(40, 39.3366089618615)	(45, 39.29371955719579)	(50, 39.298864998881335)	(55, 39.29874306551907)	(60, 39.26967563240113)	(65, 39.26993129913753)	(70, 39.21733285567571)	(75, 39.194528254344824)	(80, 39.19026790492523)	(85, 39.14470875490957)	(90, 39.14352994750597)	(95, 39.11852326871822)	(100, 39.099753626036986)	(105, 39.03515686857138)	(110, 39.02573056561627)	(115, 38.945351119737396)	(120, 38.95666195933567)	(125, 38.87372106273503)	(130, 38.803827946841636)	(135, 38.67809505038814)	(140, 38.63066942020863)	(145, 38.425290802761886)	(150, 38.32998916474343)
SRR39146893_2	(1, 37.91866543875402)	(2, 38.679799016076664)	(3, 39.007334615870455)	(4, 39.05747689555459)	(5, 39.06766094589104)	(6, 39.07865668176806)	(7, 39.085046464943034)	(8, 39.096179188758285)	(9, 39.15339064351044)	(10, 39.195885582211545)	(15, 39.269748710350314)	(20, 39.28112587868587)	(25, 39.15842667859301)	(30, 39.12761702440007)	(35, 39.09211254153212)	(40, 39.10423595746231)	(45, 39.10254260738783)	(50, 39.07974051641954)	(55, 39.063572645534805)	(60, 39.059695729158264)	(65, 39.02288998178849)	(70, 38.98647198648072)	(75, 38.96593750238431)	(80, 38.924920074205595)	(85, 38.9062999316384)	(90, 38.85916971062635)	(95, 38.830976640049165)	(100, 38.751990661473016)	(105, 38.6912694675507)	(110, 38.65177195851003)	(115, 38.62431499619358)	(120, 38.5425894702898)	(125, 38.37988795563417)	(130, 38.34292610558413)	(135, 38.23992116518327)	(140, 38.170820324193485)	(145, 38.02024654388922)	(150, 37.89386865380472)
SRR39146894_1	(1, 38.85117851352949)	(2, 38.77551282761403)	(3, 39.1973699113025)	(4, 39.124542313806764)	(5, 39.008654805612025)	(6, 38.94957784158126)	(7, 38.880964801255274)	(8, 38.84647619866453)	(9, 38.802001790649435)	(10, 38.83131346533655)	(15, 39.297533103453404)	(20, 39.44275113527671)	(25, 39.34099777036863)	(30, 39.30469098896593)	(35, 39.34705529854207)	(40, 39.36155053897099)	(45, 39.32371481617378)	(50, 39.32491195167198)	(55, 39.326214599712436)	(60, 39.2985275233613)	(65, 39.29751817897703)	(70, 39.24805007005417)	(75, 39.22807441565571)	(80, 39.22316918456554)	(85, 39.18081486042193)	(90, 39.18112088599531)	(95, 39.15807589110846)	(100, 39.13948034701368)	(105, 39.07778808353009)	(110, 39.06663041585838)	(115, 38.99167510011168)	(120, 39.00099569167277)	(125, 38.923285546703866)	(130, 38.85633153601695)	(135, 38.73720819946156)	(140, 38.68861124790689)	(145, 38.49271662233877)	(150, 38.40597058686109)
SRR39146894_2	(1, 38.157997944804016)	(2, 38.857385023523975)	(3, 39.139395775687674)	(4, 39.14368060303385)	(5, 39.16776467261951)	(6, 39.16929160221789)	(7, 39.17150304600547)	(8, 39.17589245190833)	(9, 39.22298835085817)	(10, 39.268473492022686)	(15, 39.33545750431748)	(20, 39.34280710340546)	(25, 39.234388322915436)	(30, 39.20668575259772)	(35, 39.16941514823512)	(40, 39.178384767994615)	(45, 39.17433208725745)	(50, 39.152919380179426)	(55, 39.13782182505448)	(60, 39.1306216085134)	(65, 39.09846399387932)	(70, 39.062160319979)	(75, 39.04636744609131)	(80, 39.00814332901241)	(85, 38.98691400997828)	(90, 38.94596306873088)	(95, 38.91884179042451)	(100, 38.84373410953917)	(105, 38.78949584996853)	(110, 38.75092529320274)	(115, 38.726844864921084)	(120, 38.64709024462043)	(125, 38.48971375712081)	(130, 38.45533273354026)	(135, 38.35698111062645)	(140, 38.291763907623874)	(145, 38.14760239736775)	(150, 38.03287163231929)
SRR39146895_1	(1, 38.8620510696579)	(2, 38.778499995502436)	(3, 39.19793158929485)	(4, 39.12962569697596)	(5, 39.00412016086422)	(6, 38.94230757949251)	(7, 38.867559218268404)	(8, 38.82426995716362)	(9, 38.778248522940906)	(10, 38.80792760406095)	(15, 39.28879155896953)	(20, 39.438411710251984)	(25, 39.33985660197603)	(30, 39.300589728577805)	(35, 39.3438486493276)	(40, 39.3578358035853)	(45, 39.31595286936725)	(50, 39.31946743527992)	(55, 39.31806141547755)	(60, 39.28901637738706)	(65, 39.288050479374306)	(70, 39.236382877508525)	(75, 39.213878881223664)	(80, 39.20900388133474)	(85, 39.16521585968413)	(90, 39.16350017031442)	(95, 39.1398064357189)	(100, 39.120731646054146)	(105, 39.057385226537576)	(110, 39.04465507240825)	(115, 38.9687798093215)	(120, 38.97974295109607)	(125, 38.8959525167338)	(130, 38.82763822773936)	(135, 38.70446468832549)	(140, 38.655778183923914)	(145, 38.45405964949445)	(150, 38.35755676417538)
SRR39146895_2	(1, 38.04841531221511)	(2, 38.75872126789102)	(3, 39.08859656018387)	(4, 39.10487774639911)	(5, 39.11443213936664)	(6, 39.106280204572734)	(7, 39.11549043602526)	(8, 39.1205910661146)	(9, 39.177609634019426)	(10, 39.225514101040346)	(15, 39.29574072748705)	(20, 39.31084034464647)	(25, 39.198005818676165)	(30, 39.16542209258805)	(35, 39.129469950816016)	(40, 39.13783718597786)	(45, 39.133881907661646)	(50, 39.112766154913295)	(55, 39.09306655522485)	(60, 39.08930151308665)	(65, 39.05357088378338)	(70, 39.017772428476036)	(75, 38.99922837367063)	(80, 38.95871441247051)	(85, 38.93772831130781)	(90, 38.895060146395586)	(95, 38.86510634348478)	(100, 38.78829525419232)	(105, 38.73092034664086)	(110, 38.68862283502227)	(115, 38.66616384112149)	(120, 38.58245452770181)	(125, 38.42059423577699)	(130, 38.385899288371164)	(135, 38.28149874902031)	(140, 38.213928131346115)	(145, 38.06374566482309)	(150, 37.93387348901196)
SRR39146896_1	(1, 38.80152834354122)	(2, 38.71274905985085)	(3, 39.13966728280961)	(4, 39.05853898794175)	(5, 38.926312934945734)	(6, 38.857009485510986)	(7, 38.78456961739261)	(8, 38.73432202063982)	(9, 38.68973536757079)	(10, 38.721924776479185)	(15, 39.229112881636816)	(20, 39.393507761662775)	(25, 39.28158313583924)	(30, 39.24075415896488)	(35, 39.29019164225139)	(40, 39.30662093073384)	(45, 39.26087246979663)	(50, 39.26591435333378)	(55, 39.264662707283186)	(60, 39.235610043970524)	(65, 39.23417999840807)	(70, 39.18062902875991)	(75, 39.158798554870465)	(80, 39.15256499410383)	(85, 39.10391513517419)	(90, 39.10648914204884)	(95, 39.078435809210895)	(100, 39.059496131065345)	(105, 38.99176224215512)	(110, 38.97893414051142)	(115, 38.89901221253113)	(120, 38.91145821288375)	(125, 38.824518100723836)	(130, 38.754905241053784)	(135, 38.62261014772306)	(140, 38.57283154407762)	(145, 38.360677073422764)	(150, 38.2600722288958)
SRR39146896_2	(1, 37.927032605357546)	(2, 38.680688148616)	(3, 38.99662461829075)	(4, 39.02841295870297)	(5, 39.03615990358039)	(6, 39.04028091482741)	(7, 39.048647633837255)	(8, 39.05149015813048)	(9, 39.11377954444052)	(10, 39.161399984934434)	(15, 39.24098575145295)	(20, 39.258476268839196)	(25, 39.13135044240609)	(30, 39.09846421638785)	(35, 39.060963915800706)	(40, 39.07248381645182)	(45, 39.0707925193377)	(50, 39.049942620787405)	(55, 39.032279266535625)	(60, 39.02682867723062)	(65, 38.98957625344688)	(70, 38.952191595503294)	(75, 38.93120108955226)	(80, 38.89016109851848)	(85, 38.87046212097032)	(90, 38.8230042767877)	(95, 38.79193057010296)	(100, 38.71549107029334)	(105, 38.65388287049499)	(110, 38.609077956259014)	(115, 38.585526678072014)	(120, 38.5002417411922)	(125, 38.332592222204845)	(130, 38.298763049499904)	(135, 38.191696121477754)	(140, 38.12253739259612)	(145, 37.97129500210117)	(150, 37.83899936361439)
SRR39146897_1	(1, 38.85170763680896)	(2, 38.78037491339941)	(3, 39.19745693336952)	(4, 39.13122128749838)	(5, 39.00625880859557)	(6, 38.946632867222945)	(7, 38.87474214543387)	(8, 38.83976838873274)	(9, 38.79656405607704)	(10, 38.82156270302083)	(15, 39.29105215447488)	(20, 39.43829462594037)	(25, 39.33666366897315)	(30, 39.29815834572054)	(35, 39.338932211059344)	(40, 39.35337481209536)	(45, 39.31113729321506)	(50, 39.31490252222182)	(55, 39.31387782216075)	(60, 39.28599432313198)	(65, 39.28506284779082)	(70, 39.23307316875819)	(75, 39.21333549314983)	(80, 39.20835039254624)	(85, 39.16456908340119)	(90, 39.16556082648949)	(95, 39.138561223935355)	(100, 39.122892853945636)	(105, 39.057855730082494)	(110, 39.045750207005426)	(115, 38.96960985225337)	(120, 38.97874056611079)	(125, 38.90007812828313)	(130, 38.83143943238856)	(135, 38.70799310382229)	(140, 38.663184172953876)	(145, 38.458509649307004)	(150, 38.369571127870486)
SRR39146897_2	(1, 38.040949971271274)	(2, 38.80079397936924)	(3, 39.096368956357296)	(4, 39.10076983405639)	(5, 39.12916823691086)	(6, 39.13110265792163)	(7, 39.13479095930786)	(8, 39.13993716626694)	(9, 39.19075935511045)	(10, 39.236649509314915)	(15, 39.308721650476926)	(20, 39.3150365784514)	(25, 39.198835433016924)	(30, 39.16705277198776)	(35, 39.13103041149442)	(40, 39.14300425622899)	(45, 39.140350698189984)	(50, 39.116905918627516)	(55, 39.10041045552467)	(60, 39.09416533472746)	(65, 39.062163405772054)	(70, 39.02568297297531)	(75, 39.00671649795328)	(80, 38.967250744595376)	(85, 38.94722345399396)	(90, 38.902110559014524)	(95, 38.87503514190625)	(100, 38.79834609026108)	(105, 38.739817930591784)	(110, 38.69893746102286)	(115, 38.67513017029465)	(120, 38.59465018775515)	(125, 38.43494022420204)	(130, 38.400217785351664)	(135, 38.296687741118106)	(140, 38.22906908424023)	(145, 38.0851372759346)	(150, 37.95902581508878)
