Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
SRR39139285_1	(25.0, 1.0)	(26.0, 11.0)	(27.0, 87.0)	(28.0, 238.0)	(29.0, 645.0)	(30.0, 1849.0)	(31.0, 4824.0)	(32.0, 11292.0)	(33.0, 21627.0)	(34.0, 41584.0)	(35.0, 76728.0)	(36.0, 153014.0)	(37.0, 299572.0)	(38.0, 871260.0)	(39.0, 3332540.0)	(40.0, 351516.0)		
SRR39139285_2	(23.0, 1.0)	(24.0, 2.0)	(25.0, 19.0)	(26.0, 142.0)	(27.0, 392.0)	(28.0, 1094.0)	(29.0, 1761.0)	(30.0, 3390.0)	(31.0, 6622.0)	(32.0, 13980.0)	(33.0, 26058.0)	(34.0, 51096.0)	(35.0, 96958.0)	(36.0, 195808.0)	(37.0, 393086.0)	(38.0, 1078492.0)	(39.0, 3076848.0)	(40.0, 221039.0)
SRR39146138_1	(25.0, 4.0)	(26.0, 20.0)	(27.0, 87.0)	(28.0, 289.0)	(29.0, 658.0)	(30.0, 1879.0)	(31.0, 4745.0)	(32.0, 11564.0)	(33.0, 22583.0)	(34.0, 43388.0)	(35.0, 79771.0)	(36.0, 160106.0)	(37.0, 317057.0)	(38.0, 918089.0)	(39.0, 3466066.0)	(40.0, 362275.0)		
SRR39146138_2	(24.0, 3.0)	(25.0, 34.0)	(26.0, 152.0)	(27.0, 478.0)	(28.0, 1184.0)	(29.0, 1905.0)	(30.0, 3555.0)	(31.0, 7152.0)	(32.0, 15444.0)	(33.0, 28908.0)	(34.0, 55965.0)	(35.0, 107079.0)	(36.0, 217756.0)	(37.0, 428762.0)	(38.0, 1155715.0)	(39.0, 3143500.0)	(40.0, 220989.0)	
SRR39146893_1	(26.0, 15.0)	(27.0, 92.0)	(28.0, 254.0)	(29.0, 606.0)	(30.0, 1720.0)	(31.0, 4170.0)	(32.0, 10002.0)	(33.0, 19413.0)	(34.0, 38344.0)	(35.0, 71137.0)	(36.0, 144616.0)	(37.0, 289357.0)	(38.0, 834144.0)	(39.0, 2979392.0)	(40.0, 293282.0)			
SRR39146893_2	(24.0, 3.0)	(25.0, 25.0)	(26.0, 159.0)	(27.0, 476.0)	(28.0, 1177.0)	(29.0, 1913.0)	(30.0, 3557.0)	(31.0, 7076.0)	(32.0, 14653.0)	(33.0, 27855.0)	(34.0, 53972.0)	(35.0, 102587.0)	(36.0, 206844.0)	(37.0, 406662.0)	(38.0, 1073450.0)	(39.0, 2630147.0)	(40.0, 155988.0)	
SRR39146894_1	(24.0, 1.0)	(25.0, 2.0)	(26.0, 20.0)	(27.0, 101.0)	(28.0, 277.0)	(29.0, 632.0)	(30.0, 1894.0)	(31.0, 4500.0)	(32.0, 10894.0)	(33.0, 20367.0)	(34.0, 39514.0)	(35.0, 72251.0)	(36.0, 143000.0)	(37.0, 277755.0)	(38.0, 798724.0)	(39.0, 3115865.0)	(40.0, 352671.0)	
SRR39146894_2	(24.0, 3.0)	(25.0, 23.0)	(26.0, 147.0)	(27.0, 469.0)	(28.0, 1070.0)	(29.0, 1757.0)	(30.0, 3333.0)	(31.0, 6698.0)	(32.0, 13993.0)	(33.0, 25752.0)	(34.0, 50651.0)	(35.0, 95367.0)	(36.0, 189578.0)	(37.0, 374571.0)	(38.0, 1004409.0)	(39.0, 2852884.0)	(40.0, 217763.0)	
SRR39146895_1	(25.0, 3.0)	(26.0, 15.0)	(27.0, 87.0)	(28.0, 276.0)	(29.0, 581.0)	(30.0, 1706.0)	(31.0, 4312.0)	(32.0, 10248.0)	(33.0, 19998.0)	(34.0, 39886.0)	(35.0, 74580.0)	(36.0, 152078.0)	(37.0, 305149.0)	(38.0, 885005.0)	(39.0, 3284299.0)	(40.0, 335655.0)		
SRR39146895_2	(24.0, 2.0)	(25.0, 28.0)	(26.0, 162.0)	(27.0, 457.0)	(28.0, 1118.0)	(29.0, 1890.0)	(30.0, 3587.0)	(31.0, 7112.0)	(32.0, 14966.0)	(33.0, 28341.0)	(34.0, 55548.0)	(35.0, 105445.0)	(36.0, 214632.0)	(37.0, 424896.0)	(38.0, 1135732.0)	(39.0, 2933583.0)	(40.0, 186379.0)	
SRR39146896_1	(25.0, 2.0)	(26.0, 17.0)	(27.0, 70.0)	(28.0, 256.0)	(29.0, 552.0)	(30.0, 1638.0)	(31.0, 4125.0)	(32.0, 9524.0)	(33.0, 18596.0)	(34.0, 37066.0)	(35.0, 69899.0)	(36.0, 142938.0)	(37.0, 286662.0)	(38.0, 811002.0)	(39.0, 2689341.0)	(40.0, 242787.0)		
