Sample	Unique Reads	Duplicate Reads
SRR39139285_1	4034099.0	1132689.0
SRR39139285_2	3994889.0	1171899.0
SRR39146138_1	4138086.0	1250495.0
SRR39146138_2	4133375.0	1255206.0
SRR39146893_1	3666921.0	1019623.0
SRR39146893_2	3654279.0	1032265.0
SRR39146894_1	3785715.0	1052753.0
SRR39146894_2	3759891.0	1078577.0
SRR39146895_1	3906058.0	1207820.0
SRR39146895_2	3887778.0	1226100.0
SRR39146896_1	3416503.0	897972.0
SRR39146896_2	3391118.0	923357.0
SRR39146897_1	3830832.0	1176351.0
SRR39146897_2	3801170.0	1206013.0
SRR39146898_1	4056043.0	1252581.0
SRR39146898_2	4034345.0	1274279.0
SRR39146899_1	3439172.0	922614.0
SRR39146899_2	3411668.0	950118.0
SRR39146900_1	3971864.0	1158836.0
SRR39146900_2	3941395.0	1189305.0
