Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR39139285_1	(1.0, 61.83225397376712)	(2.0, 24.649451415816575)	(3.0, 8.70437571197043)	(4.0, 2.9285376144459314)	(5.0, 0.862838725267835)	(6.0, 0.29396488784480196)	(7.0, 0.11995164424568691)	(8.0, 0.06546805613558945)	(9.0, 0.06401842638417136)	('>10', 0.47913954412192683)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39139285_2	(1.0, 60.567888538018074)	(2.0, 25.300646898933394)	(3.0, 9.239102450869089)	(4.0, 2.934476860726594)	(5.0, 0.8746536659669586)	(6.0, 0.27487491143585896)	(7.0, 0.13154130362829386)	(8.0, 0.06220946720155558)	(9.0, 0.0650652591886352)	('>10', 0.48476777602274346)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.06477286800883138)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146138_1	(1.0, 59.62393431007747)	(2.0, 25.51633799857043)	(3.0, 9.815743290825656)	(4.0, 3.295810501080379)	(5.0, 1.0823796863382085)	(6.0, 0.3845526885679596)	(7.0, 0.12919428506510003)	(8.0, 0.06956223860275344)	(9.0, 0.025955607475844397)	('>10', 0.05652939339620021)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146138_2	(1.0, 59.40459228914715)	(2.0, 25.94361263838828)	(3.0, 9.603991163274248)	(4.0, 3.2953101902567337)	(5.0, 1.012476264485259)	(6.0, 0.4126760856854041)	(7.0, 0.12067676666026043)	(8.0, 0.06739816026939537)	(9.0, 0.024866058902405924)	('>10', 0.05865680172377996)	('>50', 0.001990067260745904)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.05375351394636465)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146893_1	(1.0, 61.76100612631728)	(2.0, 25.00710802286013)	(3.0, 9.056936097939966)	(4.0, 2.852878926130681)	(5.0, 0.9203277495077236)	(6.0, 0.2809890436195464)	(7.0, 0.0695075647173039)	(8.0, 0.0313909774442502)	(9.0, 0.013147808835343961)	('>10', 0.006707682627779169)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146893_2	(1.0, 61.31774689092181)	(2.0, 25.287594016461263)	(3.0, 9.139839938109258)	(4.0, 2.938716724122276)	(5.0, 0.812376937367564)	(6.0, 0.29772169798310416)	(7.0, 0.08443194711151317)	(8.0, 0.03678358534893987)	(9.0, 0.0076655922241254705)	('>10', 0.020353008228877468)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.05676966212126241)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146894_1	(1.0, 61.868341318703266)	(2.0, 24.773073934592325)	(3.0, 8.949212781504706)	(4.0, 2.9616445489077647)	(5.0, 0.9463518255468633)	(6.0, 0.28057529357814487)	(7.0, 0.11314958509847191)	(8.0, 0.05076946367511264)	(9.0, 0.014209670345837193)	('>10', 0.04079900805564882)	('>50', 0.0018725699918526533)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146894_2	(1.0, 60.92578627460976)	(2.0, 25.50419752912919)	(3.0, 9.065145930177716)	(4.0, 2.996408986670401)	(5.0, 0.9352289692063288)	(6.0, 0.26034465990133315)	(7.0, 0.10773614234421981)	(8.0, 0.04641678512181495)	(9.0, 0.02730809489958193)	('>10', 0.06404319261421347)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.06738343532545599)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146895_1	(1.0, 59.034518512021116)	(2.0, 25.809667326476422)	(3.0, 9.825091907239093)	(4.0, 3.355029421127804)	(5.0, 1.124428668376945)	(6.0, 0.36538682568164005)	(7.0, 0.13165778299320896)	(8.0, 0.05368180374035146)	(9.0, 0.026054432556291873)	('>10', 0.24925094862900785)	('>50', 0.02523237115801405)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR39146895_2	(1.0, 58.44553936534428)	(2.0, 26.068075422825427)	(3.0, 10.178580100028151)	(4.0, 3.344967540359584)	(5.0, 1.0553441811348094)	(6.0, 0.3568057840551408)	(7.0, 0.14008371483957363)	(8.0, 0.057949431987623416)	(9.0, 0.028213140936169324)	('>10', 0.25571328246729524)	('>50', 0.009000580375399943)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.059727455646515666)	('>5k', 0.0)	('>10k+', 0.0)
